id	pid	role	visible_bbox	center	value	description
1	0	Window	[0, 0, 1800, 900]	[900.0, 450.0]		Almighty
9	1	Group	[0, 0, 1800, 900]	[900.0, 450.0]		
10	9	SplitGroup	[0, 0, 1800, 900]	[900.0, 450.0]		
44	10	Group	[0, 0, 400, 900]	[200.0, 450.0]		
45	44	ScrollArea	[0, 104, 400, 796]	[200.0, 502.0]		
50	45	Outline	[0, 104, 400, 796]	[200.0, 502.0]		|Sidebar
104	50	Row	[0, 0, 400, 22]	[200.0, 11.0]		
105	104	Cell	[20, 0, 360, 22]	[200.0, 11.0]		
102	50	Row	[0, 22, 400, 56]	[200.0, 50.0]		
103	102	Cell	[20, 22, 360, 56]	[200.0, 50.0]		
98	50	Row	[0, 78, 400, 60]	[200.0, 108.0]		
99	98	Cell	[20, 78, 360, 60]	[200.0, 108.0]		
101	99	Image	[32, 86, 44, 44]	[54.0, 108.0]		|Screenshot
100	99	StaticText	[92, 92, 138, 32]	[161.0, 108.0]	Screenshot	
94	50	Row	[0, 138, 400, 60]	[200.0, 168.0]		
95	94	Cell	[20, 138, 360, 60]	[200.0, 168.0]		
97	95	Image	[32, 146, 44, 44]	[54.0, 168.0]		|Script
96	95	StaticText	[92, 152, 72, 32]	[128.0, 168.0]	Script	
90	50	Row	[0, 198, 400, 60]	[200.0, 228.0]		
91	90	Cell	[20, 198, 360, 60]	[200.0, 228.0]		
93	91	Image	[32, 206, 44, 44]	[54.0, 228.0]		|Simulator
92	91	StaticText	[92, 212, 114, 32]	[149.0, 228.0]	Simulator	
86	50	Row	[0, 258, 400, 60]	[200.0, 288.0]		
87	86	Cell	[20, 258, 360, 60]	[200.0, 288.0]		
89	87	Image	[32, 266, 44, 44]	[54.0, 288.0]		|Status Menu
88	87	StaticText	[92, 272, 152, 32]	[168.0, 288.0]	Status Menu	
82	50	Row	[0, 318, 400, 60]	[200.0, 348.0]		
83	82	Cell	[20, 318, 360, 60]	[200.0, 348.0]		
85	83	Image	[32, 326, 44, 44]	[54.0, 348.0]		|System
84	83	StaticText	[92, 332, 90, 32]	[137.0, 348.0]	System	
78	50	Row	[0, 378, 400, 60]	[200.0, 408.0]		
79	78	Cell	[20, 378, 360, 60]	[200.0, 408.0]		
81	79	Image	[32, 386, 44, 44]	[54.0, 408.0]		|Utility
80	79	StaticText	[92, 392, 70, 32]	[127.0, 408.0]	Utility	
74	50	Row	[0, 438, 400, 60]	[200.0, 468.0]		
75	74	Cell	[20, 438, 360, 60]	[200.0, 468.0]		
77	75	Image	[32, 446, 44, 44]	[54.0, 468.0]		|Window
76	75	StaticText	[92, 452, 96, 32]	[140.0, 468.0]	Window	
70	50	Row	[0, 498, 400, 60]	[200.0, 528.0]		
71	70	Cell	[20, 498, 360, 60]	[200.0, 528.0]		
73	71	Image	[32, 506, 44, 44]	[54.0, 528.0]		|Xcode
72	71	StaticText	[92, 512, 76, 32]	[130.0, 528.0]	Xcode	
66	50	Row	[0, 584, 400, 38]	[200.0, 603.0]		
67	66	Cell	[20, 584, 360, 38]	[200.0, 603.0]		
68	67	Group	[28, 584, 368, 38]	[212.0, 603.0]		
69	68	Heading	[28, 588, 114, 28]	[85.0, 602.0]		|Workflows
62	50	Row	[0, 622, 400, 56]	[200.0, 650.0]		
63	62	Cell	[20, 622, 360, 56]	[200.0, 650.0]		
65	63	StaticText	[32, 632, 40, 36]	[52.0, 650.0]	star	
64	63	StaticText	[92, 634, 96, 32]	[140.0, 650.0]	Favorite	
58	50	Row	[0, 730, 400, 38]	[200.0, 749.0]		
59	58	Cell	[20, 730, 360, 38]	[200.0, 749.0]		
60	59	Group	[28, 730, 368, 38]	[212.0, 749.0]		
61	60	Heading	[28, 734, 92, 28]	[74.0, 748.0]		|Settings
55	50	Row	[0, 768, 400, 56]	[200.0, 796.0]		
56	55	Cell	[20, 768, 360, 56]	[200.0, 796.0]		
57	56	StaticText	[42, 778, 176, 32]	[130.0, 794.0]	Automation	
52	50	Row	[0, 824, 400, 56]	[200.0, 852.0]		
53	52	Cell	[20, 824, 360, 56]	[200.0, 852.0]		
54	53	StaticText	[38, 836, 142, 32]	[109.0, 852.0]	Settings	
51	50	Column	[20, 0, 360, 900]	[200.0, 450.0]		
46	45	ScrollBar	[368, 104, 32, 796]	[384.0, 502.0]	1.0	
49	46	ValueIndicator	[376, 496, 24, 402]	[388.0, 697.0]	1.0	
48	46	Button	[376, 898, 24, 2]	[388.0, 899.0]		
47	46	Button	[376, 104, 24, 390]	[388.0, 299.0]		
43	10	Splitter	[400, 104, 2, 796]	[401.0, 502.0]	200.0	
11	10	Group	[402, 0, 1398, 900]	[1101.0, 450.0]		
12	11	ScrollArea	[402, 104, 1398, 796]	[1101.0, 502.0]		
17	12	OpaqueProviderGroup	[770, 0, 660, 868]	[1100.0, 434.0]		
40	17	Group	[770, 0, 660, 112]	[1100.0, 56.0]		
42	40	Image	[788, 44, 44, 44]	[810.0, 66.0]		|Utility
41	40	StaticText	[840, 54, 56, 26]	[868.0, 67.0]	Utility	
33	17	Group	[770, 144, 660, 220]	[1100.0, 254.0]		
39	33	StaticText	[788, 162, 60, 60]	[818.0, 192.0]	🔍	
38	33	StaticText	[864, 162, 144, 32]	[936.0, 178.0]	Extract Text	
37	33	StaticText	[864, 196, 216, 26]	[972.0, 209.0]	Read text from images	
36	33	Button	[1344, 174, 52, 28]	[1370.0, 188.0]		|Flash
35	33	Image	[788, 296, 44, 44]	[810.0, 318.0]		|Utility
34	33	StaticText	[840, 306, 56, 26]	[868.0, 319.0]	Utility	
25	17	Group	[770, 396, 660, 220]	[1100.0, 506.0]		
32	25	StaticText	[788, 414, 60, 60]	[818.0, 444.0]	📡	
31	25	StaticText	[864, 414, 104, 32]	[916.0, 430.0]	Public Ip	
30	25	StaticText	[864, 448, 206, 26]	[967.0, 461.0]	Get public IP address	
29	25	Button	[1344, 426, 52, 28]	[1370.0, 440.0]		|Flash
28	25	Image	[788, 554, 44, 44]	[810.0, 576.0]		|Utility
27	25	StaticText	[840, 562, 56, 26]	[868.0, 575.0]	Utility	
26	25	StaticText	[914, 562, 32, 28]	[930.0, 576.0]	star	
18	17	Group	[770, 648, 660, 220]	[1100.0, 758.0]		
24	18	StaticText	[788, 666, 60, 60]	[818.0, 696.0]	🪞	
23	18	StaticText	[864, 666, 224, 32]	[976.0, 682.0]	Show Live Camera	
22	18	StaticText	[864, 700, 138, 26]	[933.0, 713.0]	Camera mirror	
21	18	CheckBox	[1336, 674, 76, 44]	[1374.0, 696.0]	0	
20	18	Image	[788, 800, 44, 44]	[810.0, 822.0]		|Utility
19	18	StaticText	[840, 810, 56, 26]	[868.0, 823.0]	Utility	
13	12	ScrollBar	[1768, 104, 32, 796]	[1784.0, 502.0]	1.0	
16	13	ValueIndicator	[1776, 466, 24, 432]	[1788.0, 682.0]	1.0	
15	13	Button	[1776, 898, 24, 2]	[1788.0, 899.0]		
14	13	Button	[1776, 104, 24, 360]	[1788.0, 284.0]		
3	1	Toolbar	[0, 0, 1800, 104]	[900.0, 52.0]		
7	3	Button	[418, 0, 84, 104]	[460.0, 52.0]		|Split View Horizontally Left
8	7	Button	[436, 28, 46, 36]	[459.0, 46.0]		|Split View Horizontally Left
4	3	Group	[1118, 0, 666, 104]	[1451.0, 52.0]		
5	4	TextField	[1124, 22, 654, 62]	[1451.0, 53.0]		
6	5	Button	[1128, 30, 50, 44]	[1153.0, 52.0]		|Search
2	1	StaticText	[502, 0, 616, 104]	[810.0, 52.0]	Almighty	
