id	pid	role	visible_bbox	center	value	description
1	0	Window	[0, 0, 2360, 1448]	[1180.0, 724.0]		App Store
3	1	SplitGroup	[0, 0, 2360, 1448]	[1180.0, 724.0]		
81	3	Group	[20, 104, 400, 56]	[220.0, 132.0]		
82	81	TextField	[80, 104, 288, 56]	[224.0, 132.0]		|search field
55	3	Outline	[0, 176, 440, 1160]	[220.0, 756.0]		
78	55	Row	[0, 196, 440, 72]	[220.0, 232.0]		
79	78	Cell	[20, 196, 400, 72]	[220.0, 232.0]		|Discover
80	79	Button	[0, 196, 440, 72]	[220.0, 232.0]		|Discover
75	55	Row	[0, 268, 440, 72]	[220.0, 304.0]		
76	75	Cell	[20, 268, 400, 72]	[220.0, 304.0]		|Arcade
77	76	Button	[0, 268, 440, 72]	[220.0, 304.0]		|Arcade
72	55	Row	[0, 340, 440, 72]	[220.0, 376.0]		
73	72	Cell	[20, 340, 400, 72]	[220.0, 376.0]		|Create
74	73	Button	[0, 340, 440, 72]	[220.0, 376.0]		|Create
69	55	Row	[0, 412, 440, 72]	[220.0, 448.0]		
70	69	Cell	[20, 412, 400, 72]	[220.0, 448.0]		|Work
71	70	Button	[0, 412, 440, 72]	[220.0, 448.0]		|Work
66	55	Row	[0, 484, 440, 72]	[220.0, 520.0]		
67	66	Cell	[20, 484, 400, 72]	[220.0, 520.0]		|Play
68	67	Button	[0, 484, 440, 72]	[220.0, 520.0]		|Play
63	55	Row	[0, 556, 440, 72]	[220.0, 592.0]		
64	63	Cell	[20, 556, 400, 72]	[220.0, 592.0]		|Develop
65	64	Button	[0, 556, 440, 72]	[220.0, 592.0]		|Develop
60	55	Row	[0, 628, 440, 72]	[220.0, 664.0]		
61	60	Cell	[20, 628, 400, 72]	[220.0, 664.0]		|Categories
62	61	Button	[0, 628, 440, 72]	[220.0, 664.0]		|Categories
57	55	Row	[0, 700, 440, 72]	[220.0, 736.0]		
58	57	Cell	[20, 700, 400, 72]	[220.0, 736.0]		|Updates, 5 available
59	58	Button	[0, 700, 440, 72]	[220.0, 736.0]		|Updates, 5 available
56	55	Column	[20, 176, 400, 1160]	[220.0, 756.0]		
52	3	Button	[0, 1336, 440, 112]	[220.0, 1392.0]		Mariya Hirna|Mariya Hirna
54	52	Image	[20, 1356, 72, 72]	[56.0, 1392.0]		|
53	52	StaticText	[104, 1376, 168, 32]	[188.0, 1392.0]	Mariya Hirna	
7	3	ScrollArea	[442, 218, 1918, 1230]	[1401.0, 833.0]		
9	7	List	[442, 218, 1918, 1230]	[1401.0, 833.0]		|Details
10	9	List	[442, 218, 1918, 902]	[1401.0, 669.0]		|Available
