id	pid	role	visible_bbox	center	value	description
1	0	Window	[0, 0, 1782, 1120]	[891.0, 560.0]		Bartender 5
5	1	SplitGroup	[0, 0, 1782, 1120]	[891.0, 560.0]		
64	5	StaticText	[178, 16, 160, 40]	[258.0, 36.0]	Bartender	
63	5	StaticText	[330, 10, 36, 54]	[348.0, 37.0]	5	
28	5	ScrollArea	[0, 76, 480, 1044]	[240.0, 598.0]		
29	28	Outline	[0, 76, 480, 1044]	[240.0, 598.0]		
59	29	Row	[0, 96, 480, 100]	[240.0, 146.0]		
60	59	Cell	[20, 96, 440, 100]	[240.0, 146.0]		
62	60	Image	[32, 108, 70, 74]	[67.0, 145.0]		|General
61	60	StaticText	[114, 130, 102, 32]	[165.0, 146.0]	General	
55	29	Row	[0, 196, 480, 100]	[240.0, 246.0]		
56	55	Cell	[20, 196, 440, 100]	[240.0, 246.0]		
58	56	Image	[32, 212, 70, 68]	[67.0, 246.0]		|Menu Bar Layout
57	56	StaticText	[114, 230, 198, 32]	[213.0, 246.0]	Menu Bar Items	
51	29	Row	[0, 296, 480, 100]	[240.0, 346.0]		
52	51	Cell	[20, 296, 440, 100]	[240.0, 346.0]		
54	52	Image	[32, 308, 70, 72]	[67.0, 344.0]		|Menu Bar Style
53	52	StaticText	[114, 330, 192, 32]	[210.0, 346.0]	Menu Bar Style	
47	29	Row	[0, 396, 480, 100]	[240.0, 446.0]		
48	47	Cell	[20, 396, 440, 100]	[240.0, 446.0]		
50	48	Image	[32, 412, 70, 68]	[67.0, 446.0]		|Presets
49	48	StaticText	[114, 430, 100, 32]	[164.0, 446.0]	Presets	
43	29	Row	[0, 496, 480, 100]	[240.0, 546.0]		
44	43	Cell	[20, 496, 440, 100]	[240.0, 546.0]		
46	44	Image	[32, 506, 70, 76]	[67.0, 544.0]		|Triggers
45	44	StaticText	[114, 530, 108, 32]	[168.0, 546.0]	Triggers	
39	29	Row	[0, 596, 480, 100]	[240.0, 646.0]		
40	39	Cell	[20, 596, 440, 100]	[240.0, 646.0]		
42	40	Image	[32, 612, 70, 68]	[67.0, 646.0]		|Hot Keys
41	40	StaticText	[114, 630, 106, 32]	[167.0, 646.0]	Hotkeys	
35	29	Row	[0, 696, 480, 100]	[240.0, 746.0]		
36	35	Cell	[20, 696, 440, 100]	[240.0, 746.0]		
38	36	Image	[32, 708, 70, 74]	[67.0, 745.0]		|Advanced
37	36	StaticText	[114, 730, 128, 32]	[178.0, 746.0]	Advanced	
31	29	Row	[0, 796, 480, 100]	[240.0, 846.0]		
32	31	Cell	[20, 796, 440, 100]	[240.0, 846.0]		
34	32	Image	[32, 818, 70, 58]	[67.0, 847.0]		|
33	32	StaticText	[114, 830, 80, 32]	[154.0, 846.0]	About	
30	29	Column	[20, 76, 440, 1044]	[240.0, 598.0]		
27	5	Splitter	[480, 56, 2, 1064]	[481.0, 588.0]	240.0	
26	5	StaticText	[518, 40, 1228, 40]	[1132.0, 60.0]	Advanced	
6	5	ScrollArea	[522, 96, 1220, 954]	[1132.0, 573.0]		
25	6	StaticText	[558, 128, 1076, 30]	[1096.0, 143.0]	Hide left application menu when needed to show menu bar items	
24	6	Button	[1648, 128, 56, 32]	[1676.0, 144.0]	1	
23	6	StaticText	[558, 242, 1038, 32]	[1077.0, 258.0]	Hide Shown menu bar items to make room to reveal your Hidden menu bar items	
22	6	StaticText	[558, 290, 72, 32]	[594.0, 306.0]	when	
21	6	PopUpButton	[640, 284, 1068, 50]	[1174.0, 309.0]	there is not enough space to reveal your hidden menu bar items	
20	6	StaticText	[558, 354, 886, 32]	[1001.0, 370.0]	Leave shown menu bar items to the right of the Bartender menu bar item	
19	6	Button	[1648, 354, 56, 32]	[1676.0, 370.0]	0	
18	6	StaticText	[558, 464, 480, 30]	[798.0, 479.0]	On battery power reduce energy usage	
17	6	Button	[1648, 464, 56, 32]	[1676.0, 480.0]	0	
16	6	StaticText	[558, 574, 1148, 32]	[1132.0, 590.0]	Delay before hiding temporarily shown menu bar items	
14	6	Slider	[558, 634, 958, 48]	[1037.0, 658.0]	15.0	
15	14	ValueIndicator	[1008, 630, 24, 56]	[1020.0, 658.0]	15.0	
13	6	StaticText	[1524, 638, 68, 32]	[1558.0, 654.0]	15	
12	6	StaticText	[1584, 638, 120, 32]	[1644.0, 654.0]	 Seconds	
11	6	StaticText	[558, 750, 1076, 30]	[1096.0, 765.0]	Show Bartender notifications	
10	6	Button	[1648, 750, 56, 32]	[1676.0, 766.0]	1	
9	6	StaticText	[558, 860, 650, 30]	[883.0, 875.0]	When ⌘+dragging menu bar items, show all sections	
8	6	Button	[1648, 860, 56, 32]	[1676.0, 876.0]	1	
7	6	ScrollBar	[1710, 96, 32, 954]	[1726.0, 573.0]	0.0	
2	1	Button	[94, 12, 28, 32]	[108.0, 28.0]		
3	2	Group	[94, 12, 28, 32]	[108.0, 28.0]		
4	3	Group	[94, 12, 28, 32]	[108.0, 28.0]		
