id	pid	role	visible_bbox	center	value	description
1	0	Window	[0, 0, 1770, 1000]	[885.0, 500.0]		BetterTouchTool Configuration
70	1	Button	[150, 50, 70, 34]	[185.0, 67.0]		<<<
69	1	Button	[2, 926, 76, 74]	[40.0, 963.0]		
68	1	Button	[64, 926, 76, 74]	[102.0, 963.0]		
57	1	ScrollArea	[0, 94, 370, 836]	[185.0, 512.0]		
58	57	Table	[0, 94, 370, 836]	[185.0, 512.0]		
64	58	Row	[0, 94, 370, 52]	[185.0, 120.0]		
65	64	Cell	[2, 96, 360, 48]	[182.0, 120.0]		
67	65	Image	[16, 100, 38, 38]	[35.0, 119.0]		|network
66	65	StaticText	[62, 106, 296, 28]	[210.0, 120.0]	All Apps	
60	58	Row	[0, 146, 370, 52]	[185.0, 172.0]		
61	60	Cell	[2, 148, 360, 48]	[182.0, 172.0]		
63	61	Image	[16, 152, 38, 38]	[35.0, 171.0]		|
62	61	StaticText	[62, 158, 296, 28]	[210.0, 172.0]	Finder	
59	58	Column	[0, 94, 366, 836]	[183.0, 512.0]		
48	1	Group	[370, 0, 1400, 94]	[1070.0, 47.0]		
56	48	Button	[372, 20, 80, 64]	[412.0, 52.0]		|Back
55	48	PopUpButton	[438, 28, 476, 50]	[676.0, 53.0]	 • Touch Bar	
54	48	Button	[1644, 0, 92, 96]	[1690.0, 48.0]		|action
53	48	CheckBox	[1392, 28, 236, 34]	[1510.0, 45.0]	0	Preset: Default ▾
52	48	Button	[908, 20, 298, 64]	[1057.0, 52.0]		Touch Bar Settings
49	48	RadioGroup	[1208, 26, 158, 48]	[1287.0, 50.0]	<AXUIElement 0x1266a56a0> {pid=18369}	
51	49	RadioButton	[1208, 26, 74, 48]	[1245.0, 50.0]	1	|column view
50	49	RadioButton	[1282, 26, 72, 48]	[1318.0, 50.0]	0	|list view
2	1	SplitGroup	[370, 94, 1400, 906]	[1070.0, 547.0]		
32	2	ScrollArea	[370, 94, 470, 836]	[605.0, 512.0]		
33	32	Table	[370, 150, 470, 780]	[605.0, 540.0]		
43	33	Row	[370, 150, 470, 108]	[605.0, 204.0]		
44	43	Cell	[370, 150, 470, 108]	[605.0, 204.0]		
47	44	StaticText	[804, 188, 20, 32]	[814.0, 204.0]	›	
46	44	StaticText	[476, 156, 320, 60]	[636.0, 186.0]	Enter Touch Bar Button Name	
45	44	StaticText	[476, 222, 256, 28]	[604.0, 236.0]	Action: Move/Resize:  - 	
40	33	Row	[370, 258, 470, 90]	[605.0, 303.0]		
41	40	Cell	[370, 258, 470, 90]	[605.0, 303.0]		
42	41	StaticText	[472, 288, 314, 30]	[629.0, 303.0]	Please Select a Trigger ►	
37	33	Row	[370, 348, 470, 582]	[605.0, 639.0]		
38	37	Cell	[370, 348, 470, 582]	[605.0, 639.0]		
39	38	Button	[570, 378, 72, 72]	[606.0, 414.0]		+
36	33	Column	[370, 150, 470, 780]	[605.0, 540.0]		
34	33	Group	[370, 94, 470, 56]	[605.0, 122.0]		
35	34	Button	[370, 94, 470, 56]	[605.0, 122.0]		Groups & Top Level Triggers
31	2	Button	[622, 940, 56, 56]	[650.0, 968.0]		
30	2	Button	[698, 940, 56, 56]	[726.0, 968.0]		
29	2	Button	[774, 940, 56, 56]	[802.0, 968.0]		
28	2	Button	[388, 940, 56, 56]	[416.0, 968.0]		
17	2	ScrollArea	[838, 94, 470, 906]	[1073.0, 547.0]		
18	17	Table	[838, 150, 470, 850]	[1073.0, 575.0]		
25	18	Row	[838, 150, 470, 100]	[1073.0, 200.0]		
26	25	Cell	[840, 152, 464, 96]	[1072.0, 200.0]		
27	26	StaticText	[942, 180, 308, 30]	[1096.0, 195.0]	Move/Resize:  - 	
22	18	Row	[838, 250, 470, 206]	[1073.0, 353.0]		
23	22	Cell	[840, 252, 464, 202]	[1072.0, 353.0]		
24	23	Button	[1038, 282, 72, 72]	[1074.0, 318.0]		+
21	18	Column	[838, 150, 470, 850]	[1073.0, 575.0]		
19	18	Group	[838, 94, 470, 56]	[1073.0, 122.0]		
20	19	Button	[838, 94, 470, 56]	[1073.0, 122.0]		Actions Assigned to Selected Trigger
16	2	Button	[1244, 940, 56, 56]	[1272.0, 968.0]		
15	2	Button	[1168, 940, 56, 56]	[1196.0, 968.0]		
14	2	Button	[858, 940, 56, 56]	[886.0, 968.0]		
13	2	Image	[1326, 96, 80, 102]	[1366.0, 147.0]		|action
12	2	StaticText	[1422, 124, 298, 32]	[1571.0, 140.0]	Action Configuration	
11	2	StaticText	[1422, 158, 326, 46]	[1585.0, 181.0]		
10	2	Button	[1636, 98, 128, 34]	[1700.0, 115.0]		
3	2	ScrollArea	[1310, 204, 460, 796]	[1540.0, 602.0]		
9	3	StaticText	[1324, 214, 438, 64]	[1543.0, 246.0]	Select a predefined action or keyboard shortcut	
8	3	Button	[1320, 296, 442, 64]	[1541.0, 328.0]		Custom Move / Resize Window|drop down
7	3	Button	[1426, 358, 230, 28]	[1541.0, 372.0]		Add additional action
6	3	StaticText	[1324, 420, 438, 64]	[1543.0, 452.0]	Click here to configure the custom move / resize:	
5	3	Button	[1308, 496, 454, 64]	[1535.0, 528.0]		Configure Move / Resize
4	3	StaticText	[1324, 570, 212, 32]	[1430.0, 586.0]	Move/Resize:  - 	
