id	pid	role	visible_bbox	center	value	description
1	0	Window	[0, 0, 2048, 1536]	[1024.0, 768.0]		Read Now
4	1	Group	[0, 0, 2048, 1536]	[1024.0, 768.0]		
5	4	Group	[0, 0, 2048, 1536]	[1024.0, 768.0]		
37	5	Group	[0, 0, 400, 1536]	[200.0, 768.0]		
39	37	Group	[0, 104, 400, 1264]	[200.0, 736.0]		|Sidebar
54	39	Group	[20, 104, 360, 78]	[200.0, 143.0]		
55	54	TextField	[18, 108, 364, 60]	[200.0, 138.0]		|Search
53	39	Heading	[20, 202, 360, 52]	[200.0, 228.0]		|Apple Books
52	39	StaticText	[20, 254, 360, 56]	[200.0, 282.0]		|Read Now
51	39	StaticText	[20, 310, 360, 56]	[200.0, 338.0]		|Book Store
50	39	StaticText	[20, 366, 360, 56]	[200.0, 394.0]		|Audiobook Store
49	39	Heading	[20, 442, 360, 52]	[200.0, 468.0]	Expanded	|Library
48	39	StaticText	[20, 494, 360, 56]	[200.0, 522.0]		|All
47	39	StaticText	[20, 550, 360, 56]	[200.0, 578.0]		|Want to Read
46	39	StaticText	[20, 606, 360, 56]	[200.0, 634.0]		|Finished
45	39	StaticText	[20, 662, 360, 56]	[200.0, 690.0]		|Books
44	39	StaticText	[20, 718, 360, 56]	[200.0, 746.0]		|Audiobooks
43	39	StaticText	[20, 774, 360, 56]	[200.0, 802.0]		|PDFs
42	39	StaticText	[20, 830, 360, 56]	[200.0, 858.0]		|My Samples
41	39	Heading	[20, 906, 360, 52]	[200.0, 932.0]	Expanded	|My Collections
40	39	Button	[20, 958, 360, 56]	[200.0, 986.0]		|New Collection
38	37	Button	[40, 1424, 248, 72]	[164.0, 1460.0]	Mariya Hirna	|Account
6	5	Group	[402, 0, 1646, 1536]	[1225.0, 768.0]		
36	6	Group	[426, 0, 1598, 104]	[1225.0, 52.0]		
7	6	Group	[402, 0, 1646, 1536]	[1225.0, 768.0]		
35	7	Heading	[482, 104, 1478, 108]	[1221.0, 158.0]		|Read Now
34	7	Button	[482, 212, 534, 30]	[749.0, 227.0]		|New! Read more with daily reading goals.
29	7	Group	[402, 278, 1646, 354]	[1225.0, 455.0]		|Continue
33	29	Heading	[482, 342, 172, 26]	[568.0, 355.0]		|Continue
32	29	GenericElement	[482, 408, 462, 160]	[713.0, 488.0]	69% completed	|PDF, 2308.15272 by Hao Wen1, Yuanchun Li1,, Guohong Liu1, Shanhui Zhao1,*, Tao Yu1,*, Toby Jia-Jun Li2, Shiqi Jiang3, Yunhao Liu1, Yaqin Zhang1, Yunxin Liu1
31	29	GenericElement	[992, 408, 462, 160]	[1223.0, 488.0]	95% completed	|PDF, nike-run-club-5k-en_LU-1 by Unknown Author
30	29	GenericElement	[1504, 408, 462, 160]	[1735.0, 488.0]	2% completed	|PDF, the_kite_runner by Zubair Gharghasht
18	7	Group	[402, 632, 1646, 560]	[1225.0, 912.0]		|Special Offers & Free
28	18	Heading	[482, 696, 384, 26]	[674.0, 709.0]		|Special Offers & Free
27	18	Button	[1882, 704, 84, 18]	[1924.0, 713.0]		|See All
26	18	Heading	[482, 722, 1486, 42]	[1225.0, 743.0]		|Find a good read for less.
25	18	Button	[482, 806, 206, 322]	[585.0, 967.0]		|The Corner Shop on Foxmore Green by Lilac Mills
24	18	Button	[736, 806, 206, 322]	[839.0, 967.0]		|The Searcher by Tana French
23	18	Button	[992, 806, 206, 322]	[1095.0, 967.0]		|The No-Show by Beth O'Leary
22	18	Button	[1248, 806, 206, 322]	[1351.0, 967.0]		|Ninth House by Leigh Bardugo
21	18	Button	[1504, 806, 206, 322]	[1607.0, 967.0]		|Her Last Holiday by C.L. Taylor
20	18	Button	[1760, 806, 206, 322]	[1863.0, 967.0]		|Pineapple Street by Jenny Jackson
19	18	Button	[2016, 806, 32, 322]	[2032.0, 967.0]		|Obsessed by James Patterson
8	7	Group	[402, 1192, 1646, 344]	[1225.0, 1364.0]		|Audiobooks: £4.99 or less
17	8	Heading	[482, 1256, 468, 26]	[716.0, 1269.0]		|Audiobooks: £4.99 or less
16	8	Button	[1882, 1264, 84, 18]	[1924.0, 1273.0]		|See All
15	8	Button	[482, 1322, 206, 206]	[585.0, 1425.0]		|Quicksand (Unabridged) by Malin Persson Giolito
14	8	Button	[736, 1322, 206, 206]	[839.0, 1425.0]		|Private London by James Patterson
13	8	Button	[992, 1322, 206, 206]	[1095.0, 1425.0]		|Private by James Patterson
12	8	Button	[1248, 1322, 206, 206]	[1351.0, 1425.0]		|Private Games by James Patterson
11	8	Button	[1504, 1322, 206, 206]	[1607.0, 1425.0]		|Private: No. 1 Suspect by James Patterson
10	8	Button	[1760, 1322, 206, 206]	[1863.0, 1425.0]		|Bad Men by Julie Mae Cohen
9	8	Button	[2016, 1322, 32, 206]	[2032.0, 1425.0]		|The Empire by Michael Ball
3	1	Toolbar	[0, 0, 2048, 104]	[1024.0, 52.0]		
2	1	Button	[78, 36, 28, 32]	[92.0, 52.0]		
