id	pid	role	visible_bbox	center	value	description
1	0	Window	[0, 0, 1870, 1196]	[935.0, 598.0]		Calendar
18	1	SplitGroup	[0, 0, 1870, 1196]	[935.0, 598.0]		
19	18	Group	[0, 76, 1870, 1120]	[935.0, 636.0]	2024-02-05 23:06:26 +0000	|Week Calendar Area
24	19	Grid	[0, 170, 1870, 1026]	[935.0, 683.0]		February 2024
31	24	List	[116, 0, 250, 1196]	[241.0, 598.0]	2024-02-04 23:00:00 +0000	|Monday
30	24	List	[366, 0, 252, 1196]	[492.0, 598.0]	2024-02-05 23:00:00 +0000	|Tuesday
29	24	List	[618, 0, 252, 1196]	[744.0, 598.0]	2024-02-06 23:00:00 +0000	|Wednesday
28	24	List	[870, 0, 252, 1196]	[996.0, 598.0]	2024-02-07 23:00:00 +0000	|Thursday
27	24	List	[1122, 0, 252, 1196]	[1248.0, 598.0]	2024-02-08 23:00:00 +0000	|Friday
26	24	List	[1374, 0, 250, 1196]	[1499.0, 598.0]	2024-02-09 23:00:00 +0000	|Saturday
25	24	List	[1624, 0, 246, 1196]	[1747.0, 598.0]	2024-02-10 23:00:00 +0000	|Sunday
20	19	Group	[1624, 104, 226, 48]	[1737.0, 128.0]		
23	20	Button	[1624, 104, 50, 48]	[1649.0, 128.0]		|previous week
22	20	Button	[1674, 104, 128, 48]	[1738.0, 128.0]		|Today
21	20	Button	[1802, 104, 48, 48]	[1826.0, 128.0]		|next week
3	1	Toolbar	[0, 0, 1870, 76]	[935.0, 38.0]		
14	3	Group	[152, 0, 134, 76]	[219.0, 38.0]		
15	14	RadioGroup	[158, 14, 122, 50]	[219.0, 39.0]		|Calendars
17	15	RadioButton	[158, 14, 60, 50]	[188.0, 39.0]	0	|Calendars
16	15	RadioButton	[218, 14, 62, 50]	[249.0, 39.0]	0	|Inbox
13	3	Button	[286, 0, 92, 76]	[332.0, 38.0]		|Add Event
7	3	Group	[668, 0, 534, 76]	[935.0, 38.0]		
8	7	RadioGroup	[674, 14, 522, 50]	[935.0, 39.0]	<AXUIElement 0x13ef259d0> {pid=64679}	|View Switcher
12	8	RadioButton	[674, 14, 132, 50]	[740.0, 39.0]	0	|Day
11	8	RadioButton	[806, 14, 130, 50]	[871.0, 39.0]	1	|Week
10	8	RadioButton	[936, 14, 130, 50]	[1001.0, 39.0]	0	|Month
9	8	RadioButton	[1066, 14, 130, 50]	[1131.0, 39.0]	0	|Year
4	3	Group	[1446, 0, 416, 76]	[1654.0, 38.0]		
5	4	TextField	[1452, 14, 404, 50]	[1654.0, 39.0]		|Search
6	5	Button	[1456, 16, 50, 44]	[1481.0, 38.0]		|Search
2	1	Button	[64, 22, 28, 32]	[78.0, 38.0]		
