id	pid	role	visible_bbox	center	value	description
1	0	Group	[0, 0, 2400, 1632]	[1200.0, 816.0]		|
71	1	TabGroup	[160, 0, 2240, 82]	[1280.0, 41.0]		|
76	71	RadioButton	[160, 0, 512, 82]	[416.0, 41.0]	False	|What’s new - Memory usage - 143 MB
77	76	Button	[588, 12, 56, 56]	[616.0, 40.0]		|Close
74	71	RadioButton	[636, 0, 512, 82]	[892.0, 41.0]	True	|miyazaki hayao - Пошук Google - Memory usage - 126 MB
75	74	Button	[1064, 12, 56, 56]	[1092.0, 40.0]		|Close
73	71	Button	[1136, 0, 56, 82]	[1164.0, 41.0]		|New Tab
72	71	PopUpButton	[2332, 0, 56, 82]	[2360.0, 41.0]		|Search tabs
58	1	Toolbar	[0, 80, 2400, 92]	[1200.0, 126.0]		|
70	58	Button	[10, 92, 68, 68]	[44.0, 126.0]		|Back
69	58	Button	[82, 92, 68, 68]	[116.0, 126.0]		|Forward
68	58	Button	[154, 92, 68, 68]	[188.0, 126.0]		|Reload
63	58	Group	[240, 92, 1812, 68]	[1146.0, 126.0]		|
67	63	PopUpButton	[250, 102, 48, 48]	[274.0, 126.0]		|View site information
66	63	TextField	[314, 102, 1598, 48]	[1113.0, 126.0]	google.com/search?gs_ssp=eJzj4tDP1TcwNTYpM2D04svNrEysSszOVMhIrEzMBwBjDwg6&q=miyazaki+hayao&rlz=1C5GCEM_enCZ1096&oq=miyazaki+&gs_lcrp=EgZjaHJvbWUqBwgDEC4YgAQyBwgAEAAYjwIyBwgBEAAYgAQyBwgCEC4YgAQyBwgDEC4YgAQyBwgEEAAYgAQyBwgFEC4YgAQyBwgGEAAYgAQyBwgHEAAYgAQyBwgIEAAYgAQyDQgJEC4YrwEYxwEYgATSAQkyNjc1MWowajeoAgCwAgA&sourceid=chrome&ie=UTF-8	|Address and search bar
65	63	Button	[1916, 102, 48, 48]	[1940.0, 126.0]		|Translate this page
64	63	Button	[1980, 102, 48, 48]	[2004.0, 126.0]		|Bookmark this tab
62	58	PopUpButton	[2070, 92, 68, 68]	[2104.0, 126.0]		|Extensions
61	58	Button	[2178, 92, 68, 68]	[2212.0, 126.0]		|Side panel
60	58	Button	[2250, 92, 68, 68]	[2284.0, 126.0]		|You
59	58	PopUpButton	[2322, 92, 68, 68]	[2356.0, 126.0]		|Chrome
54	1	Toolbar	[0, 172, 2400, 68]	[1200.0, 206.0]		|Bookmarks
57	54	Button	[12, 172, 134, 56]	[79.0, 200.0]		|Gmail
56	54	Button	[162, 172, 164, 56]	[244.0, 200.0]		|YouTube
55	54	Button	[342, 172, 130, 56]	[407.0, 200.0]		|Maps
6	1	WebArea	[0, 242, 2400, 1390]	[1200.0, 937.0]		miyazaki hayao - Пошук Google|
7	6	Group	[0, 242, 2400, 1390]	[1200.0, 937.0]		|
8	7	Group	[0, 242, 2400, 1390]	[1200.0, 937.0]		|
9	8	Group	[0, 242, 2400, 1390]	[1200.0, 937.0]		|
10	9	Group	[0, 530, 2400, 88]	[1200.0, 574.0]		|
11	10	Group	[0, 242, 2400, 1390]	[1200.0, 937.0]		|Налаштування пошуку
12	11	Group	[1680, 242, 720, 1390]	[2040.0, 937.0]		|Google Налаштування пошуку Close Персоналізація пошуку Вимкнено Безпечний пошук Розмивання ввімкнено Мова (Language) українська Темна тема Налаштування пристрою за умовчанням Інші налаштування Надіслати відгук Розширений пошук Довідка • Конфіденційність • Умови
53	12	Image	[1680, 248, 128, 128]	[1744.0, 312.0]		|Google
51	12	Heading	[1808, 284, 512, 56]	[2064.0, 312.0]		Налаштування пошуку|
52	51	StaticText	[1808, 284, 462, 56]	[2039.0, 312.0]	Налаштування пошуку	|
49	12	Button	[2320, 272, 80, 80]	[2360.0, 312.0]		|Close
50	49	Image	[2336, 288, 48, 48]	[2360.0, 312.0]		|
45	12	Link	[1680, 382, 720, 152]	[2040.0, 458.0]		|Персоналізація пошуку Вимкнено
48	45	Image	[1728, 434, 48, 48]	[1752.0, 458.0]		|
47	45	StaticText	[1808, 418, 344, 42]	[1980.0, 439.0]	Персоналізація пошуку	|
46	45	StaticText	[1808, 468, 110, 30]	[1863.0, 483.0]	Вимкнено	|
41	12	Link	[1680, 534, 720, 150]	[2040.0, 609.0]		|Безпечний пошук Розмивання ввімкнено
44	41	Image	[1728, 584, 48, 50]	[1752.0, 609.0]		|
43	41	StaticText	[1808, 570, 256, 40]	[1936.0, 590.0]	Безпечний пошук	|
42	41	StaticText	[1808, 618, 252, 30]	[1934.0, 633.0]	Розмивання ввімкнено	|
35	12	Link	[1680, 684, 720, 152]	[2040.0, 760.0]		|Мова (Language) українська
40	35	Image	[1728, 736, 48, 48]	[1752.0, 760.0]		|
37	35	Group	[1808, 720, 208, 42]	[1912.0, 741.0]		|
39	37	StaticText	[1808, 720, 80, 42]	[1848.0, 741.0]	Мова	|
38	37	StaticText	[1888, 728, 128, 30]	[1952.0, 743.0]	 (Language)	|
36	35	StaticText	[1808, 770, 118, 30]	[1867.0, 785.0]	українська	|
31	12	Link	[1680, 836, 720, 150]	[2040.0, 911.0]		|Темна тема Налаштування пристрою за умовчанням
34	31	Image	[1728, 886, 48, 50]	[1752.0, 911.0]		|
33	31	StaticText	[1808, 872, 174, 40]	[1895.0, 892.0]	Темна тема	|
32	31	StaticText	[1808, 920, 450, 30]	[2033.0, 935.0]	Налаштування пристрою за умовчанням	|
28	12	Link	[1728, 1022, 624, 48]	[2040.0, 1046.0]		|Інші налаштування
30	28	StaticText	[1728, 1028, 248, 36]	[1852.0, 1046.0]	Інші налаштування	|
29	28	Image	[2000, 1022, 48, 48]	[2024.0, 1046.0]		|
25	12	Button	[1680, 1108, 720, 120]	[2040.0, 1168.0]		Надіслати відгук|
27	25	Image	[1728, 1144, 48, 48]	[1752.0, 1168.0]		|
26	25	StaticText	[1808, 1144, 244, 42]	[1930.0, 1165.0]	Надіслати відгук	|
22	12	Link	[1680, 1228, 720, 120]	[2040.0, 1288.0]		|Розширений пошук
24	22	Image	[1728, 1264, 48, 48]	[1752.0, 1288.0]		|
23	22	StaticText	[1808, 1268, 284, 42]	[1950.0, 1289.0]	Розширений пошук	|
13	12	Group	[1680, 1504, 720, 126]	[2040.0, 1567.0]		|
20	13	Link	[1728, 1552, 88, 30]	[1772.0, 1567.0]		|Довідка
21	20	StaticText	[1728, 1552, 88, 30]	[1772.0, 1567.0]	Довідка	|
19	13	StaticText	[1814, 1552, 22, 30]	[1825.0, 1567.0]	 • 	|
17	13	Link	[1834, 1552, 194, 30]	[1931.0, 1567.0]		|Конфіденційність
18	17	StaticText	[1834, 1552, 194, 30]	[1931.0, 1567.0]	Конфіденційність	|
16	13	StaticText	[2028, 1552, 20, 30]	[2038.0, 1567.0]	 • 	|
14	13	Link	[2048, 1552, 70, 30]	[2083.0, 1567.0]		|Умови
15	14	StaticText	[2048, 1552, 70, 30]	[2083.0, 1567.0]	Умови	|
4	1	PopUpButton	[922, 256, 304, 74]	[1074.0, 293.0]	Bookmarks	|Side panel selector
5	4	Button	[922, 256, 304, 74]	[1074.0, 293.0]		|
3	1	Button	[2310, 266, 56, 56]	[2338.0, 294.0]		|Close
2	1	Splitter	[888, 242, 34, 1390]	[905.0, 937.0]		|
