id	pid	role	visible_bbox	center	value	description
1	0	Window	[0, 0, 2400, 1556]	[1200.0, 778.0]		Welcome!
25	1	SplitGroup	[0, 104, 2400, 1452]	[1200.0, 830.0]		
36	25	Splitter	[0, 104, 2, 1452]	[1.0, 830.0]	0.0	
27	25	Group	[0, 0, 2400, 1556]	[1200.0, 778.0]		
28	27	Group	[0, 0, 2400, 1556]	[1200.0, 778.0]		
29	28	ScrollArea	[0, 104, 2400, 1452]	[1200.0, 830.0]		|
30	29	WebArea	[0, 104, 2400, 1452]	[1200.0, 830.0]		|Welcome!
31	30	Group	[0, 398, 2400, 790]	[1200.0, 793.0]		|
35	31	Button	[822, 416, 360, 360]	[1002.0, 596.0]		|
34	31	Button	[1218, 416, 360, 360]	[1398.0, 596.0]		|
33	31	Button	[822, 810, 360, 360]	[1002.0, 990.0]		|
32	31	Button	[1218, 810, 360, 360]	[1398.0, 990.0]		|
26	25	StaticText	[14, 1512, 8, 32]	[18.0, 1528.0]		
24	1	Button	[168, 24, 66, 56]	[201.0, 52.0]		
23	1	Button	[242, 24, 66, 56]	[275.0, 52.0]		
22	1	Button	[324, 24, 66, 56]	[357.0, 52.0]		
21	1	Button	[2310, 24, 66, 56]	[2343.0, 52.0]		
20	1	Button	[2146, 24, 66, 56]	[2179.0, 52.0]		
19	1	Button	[2064, 24, 66, 56]	[2097.0, 52.0]		
18	1	Button	[2228, 24, 66, 56]	[2261.0, 52.0]		
17	1	TextField	[828, 24, 748, 56]	[1202.0, 52.0]		
16	1	Image	[840, 36, 50, 32]	[865.0, 52.0]		|
15	1	Button	[1592, 24, 66, 56]	[1625.0, 52.0]		
3	1	ScrollArea	[580, 106, 1240, 120]	[1200.0, 166.0]		
4	3	Table	[580, 106, 1240, 120]	[1200.0, 166.0]		
10	4	Row	[580, 106, 1240, 60]	[1200.0, 136.0]		
11	10	Cell	[580, 106, 1240, 60]	[1200.0, 136.0]		
14	11	StaticText	[992, 116, 268, 36]	[1126.0, 134.0]	Active Search Profile:	
13	11	Button	[1246, 106, 160, 64]	[1326.0, 138.0]		Default
12	11	Button	[1750, 106, 72, 60]	[1786.0, 136.0]		
6	4	Row	[580, 166, 1240, 60]	[1200.0, 196.0]		
7	6	Cell	[580, 166, 1240, 60]	[1200.0, 196.0]		
9	7	StaticText	[582, 174, 1236, 42]	[1200.0, 195.0]	Warning: No docsets available! Click here to download some.	
8	7	Button	[1770, 180, 32, 32]	[1786.0, 196.0]		
5	4	Column	[580, 106, 1240, 120]	[1200.0, 166.0]		
2	1	StaticText	[1190, 10, 20, 32]	[1200.0, 26.0]		
