id	pid	role	visible_bbox	center	value	description
1	0	Window	[0, 0, 800, 1000]	[400.0, 500.0]		Due
3	1	SplitGroup	[0, 0, 800, 1000]	[400.0, 500.0]		
13	3	ScrollArea	[0, 84, 150, 758]	[75.0, 463.0]		
14	13	Table	[0, 84, 150, 758]	[75.0, 463.0]		
24	14	Row	[0, 84, 150, 144]	[75.0, 156.0]		
25	24	Cell	[12, 84, 126, 144]	[75.0, 156.0]		
27	25	StaticText	[6, 174, 138, 32]	[75.0, 190.0]	Reminders	
26	25	Image	[34, 104, 80, 80]	[74.0, 144.0]		|
20	14	Row	[0, 228, 150, 144]	[75.0, 300.0]		
21	20	Cell	[12, 228, 126, 144]	[75.0, 300.0]		
23	21	StaticText	[6, 318, 138, 32]	[75.0, 334.0]	Timers	
22	21	Image	[34, 248, 80, 80]	[74.0, 288.0]		|
16	14	Row	[0, 372, 150, 144]	[75.0, 444.0]		
17	16	Cell	[12, 372, 126, 144]	[75.0, 444.0]		
19	17	StaticText	[6, 462, 138, 32]	[75.0, 478.0]	Logbook	
18	17	Image	[34, 392, 80, 80]	[74.0, 432.0]		|
15	14	Column	[0, 84, 150, 758]	[75.0, 463.0]		
12	3	Button	[34, 842, 80, 108]	[74.0, 896.0]		
9	3	ScrollArea	[170, 100, 610, 880]	[475.0, 540.0]		
10	9	Table	[170, 100, 610, 880]	[475.0, 540.0]		
11	10	Column	[170, 100, 610, 880]	[475.0, 540.0]		
7	3	TextField	[170, 22, 610, 56]	[475.0, 50.0]		
8	7	Button	[174, 28, 50, 44]	[199.0, 50.0]		|search
6	3	Image	[308, 220, 332, 332]	[474.0, 386.0]		|Logbook Empty
5	3	StaticText	[186, 592, 578, 100]	[475.0, 642.0]	You’ve no reminders logged.	
4	3	StaticText	[186, 710, 578, 38]	[475.0, 729.0]	Completed reminders are moved here.	
2	1	Button	[94, 16, 28, 32]	[108.0, 32.0]		
