id	pid	role	visible_bbox	center	value	description
1	0	Window	[0, 0, 2880, 1628]	[1440.0, 814.0]		Untitled 1.flmg
149	1	Image	[40, 92, 64, 48]	[72.0, 116.0]		|ic big navigationbar normal 1
148	1	StaticText	[100, 102, 92, 30]	[146.0, 117.0]	Media	
147	1	Button	[40, 76, 154, 80]	[117.0, 116.0]		
146	1	Image	[208, 92, 64, 48]	[240.0, 116.0]		|ic big navigationbar select 2
145	1	StaticText	[268, 102, 148, 30]	[342.0, 117.0]	Resources	
144	1	Button	[208, 76, 204, 80]	[310.0, 116.0]		
143	1	Image	[432, 92, 64, 48]	[464.0, 116.0]		|ic big navigationbar normal 3
142	1	StaticText	[492, 102, 104, 30]	[544.0, 117.0]	Effects	
141	1	Button	[432, 76, 160, 80]	[512.0, 116.0]		
140	1	StaticText	[2356, 102, 90, 32]	[2401.0, 118.0]	Viewer	
139	1	Image	[2312, 96, 40, 40]	[2332.0, 116.0]		|ic navigationbar checker
138	1	Button	[2304, 88, 148, 56]	[2378.0, 116.0]		
137	1	Image	[2348, 80, 20, 20]	[2358.0, 90.0]		|ic checker updatetip red
136	1	StaticText	[2718, 102, 88, 32]	[2762.0, 118.0]	Export	
135	1	Image	[2678, 96, 40, 40]	[2698.0, 116.0]		|ic navigationbar export unslec
134	1	Button	[2652, 88, 188, 56]	[2746.0, 116.0]		
133	1	Image	[2586, 96, 40, 40]	[2606.0, 116.0]		|ic zhankai
132	1	StaticText	[2490, 100, 112, 32]	[2546.0, 116.0]	16:9	
131	1	Button	[2484, 88, 142, 56]	[2555.0, 116.0]		
130	1	StaticText	[1802, 180, 668, 30]	[2136.0, 195.0]		
129	1	StaticText	[1452, 776, 148, 30]	[1526.0, 791.0]	00:00:00:00	
128	1	Button	[2776, 776, 40, 40]	[2796.0, 796.0]		
127	1	StaticText	[2616, 776, 148, 30]	[2690.0, 791.0]	00:00:00:00	
126	1	Image	[1922, 444, 426, 112]	[2135.0, 500.0]		|img watermark
125	1	StaticText	[56, 184, 134, 30]	[123.0, 199.0]	Resources	
124	1	StaticText	[106, 240, 308, 30]	[260.0, 255.0]	Text	
123	1	Image	[60, 236, 40, 40]	[80.0, 256.0]		|ic sidebar text
122	1	Button	[50, 228, 380, 56]	[240.0, 256.0]		
121	1	StaticText	[106, 296, 308, 32]	[260.0, 312.0]	Sound FX	
120	1	Image	[60, 292, 40, 40]	[80.0, 312.0]		|Resource Sound icon
119	1	Button	[50, 284, 380, 56]	[240.0, 312.0]		
