id	pid	role	visible_bbox	center	value	description
1	0	Window	[0, 0, 3024, 1718]	[1512.0, 859.0]		AlarmClock1.band - Tracks
291	1	Button	[54, 12, 28, 32]	[68.0, 28.0]		
290	1	Image	[1316, 10, 32, 32]	[1332.0, 26.0]		AlarmClock1.band
289	1	StaticText	[1352, 10, 358, 32]	[1531.0, 26.0]	AlarmClock1.band - Tracks	
263	1	Group	[20, 48, 2984, 116]	[1512.0, 106.0]		|Control Bar
281	263	Group	[1248, 56, 528, 96]	[1512.0, 104.0]		|Control Bar
288	281	PopUpButton	[1744, 56, 32, 96]	[1760.0, 104.0]	Beats & Project	Beats & Project|Display Mode
285	281	Group	[1250, 56, 236, 96]	[1368.0, 104.0]		|Playhead Position
287	285	Slider	[1284, 70, 110, 54]	[1339.0, 97.0]	1.0	|bar
286	285	Slider	[1412, 70, 38, 54]	[1431.0, 97.0]	1.0	|beat
284	281	Slider	[1488, 60, 126, 92]	[1551.0, 106.0]	120.0	|Tempo
283	281	PopUpButton	[1616, 66, 126, 46]	[1679.0, 89.0]	4/4	|Time Signature
282	281	PopUpButton	[1616, 106, 126, 46]	[1679.0, 129.0]	C major	|Key Signature
280	263	CheckBox	[1148, 74, 76, 60]	[1186.0, 104.0]	0	Cycle|Cycle
279	263	CheckBox	[1074, 74, 74, 60]	[1111.0, 104.0]	0	Record|Record
278	263	CheckBox	[1000, 74, 74, 60]	[1037.0, 104.0]	0	Play|Play
277	263	Button	[926, 74, 74, 60]	[963.0, 104.0]	0	Stop|Stop
276	263	Button	[852, 74, 74, 60]	[889.0, 104.0]	0	Forward|Forward
275	263	Button	[778, 74, 74, 60]	[815.0, 104.0]	0	Rewind|Rewind
274	263	CheckBox	[1800, 74, 68, 60]	[1834.0, 104.0]	0	Tuner|Tuner
273	263	CheckBox	[1916, 74, 66, 60]	[1949.0, 104.0]	1	Count In|Count In
272	263	CheckBox	[1982, 74, 68, 60]	[2016.0, 104.0]	1	Click|Click
271	263	CheckBox	[24, 74, 68, 60]	[58.0, 104.0]	0	Library|Library
270	263	CheckBox	[140, 74, 68, 60]	[174.0, 104.0]	0	Quick Help|Quick Help
269	263	CheckBox	[256, 74, 66, 60]	[289.0, 104.0]	1	Smart Controls|Smart Controls
268	263	CheckBox	[322, 74, 68, 60]	[356.0, 104.0]	0	Editors|Editors
267	263	CheckBox	[2866, 74, 66, 60]	[2899.0, 104.0]	0	Note Pad|Note Pad
266	263	CheckBox	[2932, 74, 68, 60]	[2966.0, 104.0]	1	Loop Browser|Loop Browser
264	263	Slider	[2316, 88, 284, 42]	[2458.0, 109.0]	0.7086614370346069	|Master Volume
265	264	ValueIndicator	[2488, 88, 40, 42]	[2508.0, 109.0]	0.7086614370346069	
205	1	Group	[0, 174, 2140, 1010]	[1070.0, 679.0]		|Tracks
208	205	SplitGroup	[0, 174, 2140, 1010]	[1070.0, 679.0]		
246	208	SplitGroup	[0, 174, 2140, 130]	[1070.0, 239.0]		
256	246	Group	[0, 174, 650, 130]	[325.0, 239.0]		|Tracks legend
262	256	Button	[0, 174, 650, 128]	[325.0, 238.0]	0	
261	256	Button	[0, 250, 650, 54]	[325.0, 277.0]	0	
260	256	Button	[24, 252, 132, 50]	[90.0, 277.0]	0	
259	256	Button	[0, 302, 650, 2]	[325.0, 303.0]	0	
258	256	Button	[18, 190, 70, 46]	[53.0, 213.0]	0	|New Tracks…   ⌥⌘N
257	256	CheckBox	[562, 190, 70, 46]	[597.0, 213.0]	0	|Catch Playhead   `
247	246	ScrollArea	[650, 174, 1490, 130]	[1395.0, 239.0]		
249	247	LayoutArea	[650, 174, 2374, 130]	[1837.0, 239.0]		|Tracks time ruler
255	249	Button	[650, 302, 2374, 2]	[1837.0, 303.0]	0	
254	249	Button	[650, 250, 2374, 128]	[1837.0, 314.0]	0	
253	249	LayoutItem	[668, 174, 386, 40]	[861.0, 194.0]	0	|cycle region
252	249	ValueIndicator	[658, 214, 20, 38]	[668.0, 233.0]	164926744166400	|Playhead thumb
250	249	Slider	[1986, 184, 126, 50]	[2049.0, 209.0]	0.09997802972793579	
251	250	ValueIndicator	[1994, 194, 28, 30]	[2008.0, 209.0]	0.09997802972793579	
248	247	ScrollBar	[2108, 174, 32, 130]	[2124.0, 239.0]	0.0	
209	208	SplitGroup	[0, 304, 2140, 880]	[1070.0, 744.0]		
225	209	ScrollArea	[0, 304, 650, 880]	[325.0, 744.0]		
227	225	Group	[0, 304, 650, 880]	[325.0, 744.0]		|Tracks header
