id	pid	role	visible_bbox	center	value	description
1	0	Window	[0, 0, 1562, 1000]	[781.0, 500.0]		GoodTask
9	1	SplitGroup	[0, 0, 1562, 1000]	[781.0, 500.0]		
103	9	Button	[24, 930, 40, 70]	[44.0, 965.0]		|add
102	9	Button	[294, 936, 28, 64]	[308.0, 968.0]		|Goals
101	9	Button	[344, 936, 28, 64]	[358.0, 968.0]		|Reports
100	9	StaticText	[392, 958, 52, 28]	[418.0, 972.0]	6	
99	9	Button	[394, 936, 44, 64]	[416.0, 968.0]		|Today Page
98	9	Button	[462, 936, 28, 64]	[476.0, 968.0]		|Next
97	9	Button	[512, 932, 24, 68]	[524.0, 966.0]		|Preferences
34	9	ScrollArea	[0, 76, 560, 860]	[280.0, 506.0]		
35	34	Table	[0, 76, 560, 860]	[280.0, 506.0]		
92	35	Row	[0, 76, 560, 70]	[280.0, 111.0]		
93	92	Cell	[32, 76, 496, 70]	[280.0, 111.0]		
96	93	StaticText	[44, 106, 136, 28]	[112.0, 120.0]	Smart Lists	
95	93	Image	[472, 106, 40, 40]	[492.0, 126.0]		|ListGroupArrow
94	93	Button	[414, 102, 100, 40]	[464.0, 122.0]		
87	35	Row	[0, 146, 560, 50]	[280.0, 171.0]		
88	87	Cell	[32, 146, 496, 50]	[280.0, 171.0]		
91	88	Image	[32, 140, 66, 66]	[65.0, 173.0]		|ListIconAll2
90	88	StaticText	[94, 154, 400, 32]	[294.0, 170.0]	All Lists	
89	88	StaticText	[494, 154, 20, 32]	[504.0, 170.0]	1	
82	35	Row	[0, 196, 560, 50]	[280.0, 221.0]		
83	82	Cell	[32, 196, 496, 50]	[280.0, 221.0]		
86	83	Image	[32, 184, 66, 76]	[65.0, 222.0]		|favorite
85	83	StaticText	[94, 204, 394, 32]	[291.0, 220.0]	Today	
84	83	StaticText	[488, 204, 24, 32]	[500.0, 220.0]	0	
77	35	Row	[0, 246, 560, 50]	[280.0, 271.0]		
78	77	Cell	[32, 246, 496, 50]	[280.0, 271.0]		
81	78	Image	[32, 234, 66, 76]	[65.0, 272.0]		|warning
80	78	StaticText	[94, 254, 394, 32]	[291.0, 270.0]	High Priorities	
79	78	StaticText	[488, 254, 24, 32]	[500.0, 270.0]	0	
72	35	Row	[0, 296, 560, 50]	[280.0, 321.0]		
73	72	Cell	[32, 296, 496, 50]	[280.0, 321.0]		
76	73	Image	[32, 282, 66, 78]	[65.0, 321.0]		|Flame
75	73	StaticText	[94, 304, 400, 32]	[294.0, 320.0]	Overdue	
74	73	StaticText	[494, 304, 20, 32]	[504.0, 320.0]	1	
67	35	Row	[0, 346, 560, 50]	[280.0, 371.0]		
68	67	Cell	[32, 346, 496, 50]	[280.0, 371.0]		
71	68	Image	[32, 334, 66, 74]	[65.0, 371.0]		|calendar
70	68	StaticText	[94, 354, 400, 32]	[294.0, 370.0]	Within 3 days	
69	68	StaticText	[494, 354, 20, 32]	[504.0, 370.0]	1	
62	35	Row	[0, 396, 560, 50]	[280.0, 421.0]		
63	62	Cell	[32, 396, 496, 50]	[280.0, 421.0]		
66	63	Image	[32, 380, 66, 80]	[65.0, 420.0]		|sparkle
65	63	StaticText	[94, 404, 400, 32]	[294.0, 420.0]	Recent	
64	63	StaticText	[494, 404, 20, 32]	[504.0, 420.0]	1	
57	35	Row	[0, 446, 560, 50]	[280.0, 471.0]		
58	57	Cell	[32, 446, 496, 50]	[280.0, 471.0]		
61	58	Image	[32, 434, 66, 74]	[65.0, 471.0]		|Inbox Full
60	58	StaticText	[94, 454, 394, 32]	[291.0, 470.0]	#Later	
59	58	StaticText	[488, 454, 24, 32]	[500.0, 470.0]	0	
52	35	Row	[0, 496, 560, 50]	[280.0, 521.0]		
53	52	Cell	[32, 496, 496, 50]	[280.0, 521.0]		
56	53	Image	[32, 484, 66, 76]	[65.0, 522.0]		|
55	53	StaticText	[94, 504, 400, 32]	[294.0, 520.0]	5 Scheduled tasks	
