id	pid	role	visible_bbox	center	value	description
1	0	Window	[0, 0, 2326, 1386]	[1163.0, 693.0]		Latest News – 0 articles
14	1	SplitGroup	[0, 0, 2326, 1386]	[1163.0, 693.0]		
32	14	ScrollArea	[0, 104, 476, 1210]	[238.0, 709.0]		
33	32	Outline	[0, 104, 476, 1210]	[238.0, 709.0]		
47	33	Row	[0, 104, 476, 38]	[238.0, 123.0]		
48	47	Cell	[20, 104, 436, 38]	[238.0, 123.0]		|Smart Filters
49	48	StaticText	[28, 108, 372, 28]	[214.0, 122.0]	Smart Filters	
43	33	Row	[0, 142, 476, 56]	[238.0, 170.0]		
44	43	Cell	[20, 142, 436, 56]	[238.0, 170.0]		|Latest News
46	44	Image	[32, 150, 40, 40]	[52.0, 170.0]		|today selection
45	44	StaticText	[76, 154, 368, 32]	[260.0, 170.0]	Latest News	
39	33	Row	[0, 198, 476, 56]	[238.0, 226.0]		
40	39	Cell	[20, 198, 436, 56]	[238.0, 226.0]		|Unread Items
42	40	Image	[32, 206, 40, 40]	[52.0, 226.0]		|unread selection
41	40	StaticText	[76, 210, 368, 32]	[260.0, 226.0]	Unread Items	
35	33	Row	[0, 254, 476, 56]	[238.0, 282.0]		
36	35	Cell	[20, 254, 436, 56]	[238.0, 282.0]		
38	36	Image	[32, 262, 40, 40]	[52.0, 282.0]		|favorite selection
37	36	StaticText	[76, 266, 368, 32]	[260.0, 282.0]	Favorites	
34	33	Column	[20, 104, 436, 1210]	[238.0, 709.0]		
31	14	StaticText	[0, 676, 482, 32]	[241.0, 692.0]	↓ Use the + button to add new feeds	
30	14	Button	[22, 1342, 32, 32]	[38.0, 1358.0]		
29	14	CheckBox	[314, 1342, 32, 32]	[330.0, 1358.0]	1	
28	14	CheckBox	[368, 1342, 32, 32]	[384.0, 1358.0]	0	
27	14	CheckBox	[418, 1342, 32, 32]	[434.0, 1358.0]	0	
26	14	Button	[68, 1340, 40, 40]	[88.0, 1360.0]		
25	14	Splitter	[478, 104, 2, 1282]	[479.0, 745.0]	239.0	
22	14	ScrollArea	[480, 104, 600, 1282]	[780.0, 745.0]		
23	22	Table	[480, 104, 600, 1282]	[780.0, 745.0]		
24	23	Column	[500, 104, 560, 1282]	[780.0, 745.0]		
21	14	Splitter	[1080, 104, 2, 1282]	[1081.0, 745.0]	300.0	
15	14	Group	[1082, 0, 1244, 1386]	[1704.0, 693.0]		
16	15	Group	[1082, 0, 1244, 1386]	[1704.0, 693.0]		
17	16	ScrollArea	[1082, 104, 1244, 1282]	[1704.0, 745.0]		|
18	17	WebArea	[1082, 104, 1244, 1282]	[1704.0, 745.0]		|
19	18	Group	[1098, 680, 1228, 68]	[1712.0, 714.0]		|
20	19	StaticText	[1516, 680, 408, 68]	[1720.0, 714.0]	No Item Selected	|
4	1	Toolbar	[0, 0, 2326, 104]	[1163.0, 52.0]		
13	4	CheckBox	[362, 0, 100, 104]	[412.0, 52.0]	0	|View
12	4	Button	[970, 0, 94, 104]	[1017.0, 52.0]		|Check
11	4	CheckBox	[1098, 0, 100, 104]	[1148.0, 52.0]	0	|Reader
10	4	Button	[1198, 0, 100, 104]	[1248.0, 52.0]		|Slidehsow
9	4	CheckBox	[1654, 0, 100, 104]	[1704.0, 52.0]	0	|Star
8	4	Button	[1754, 0, 100, 104]	[1804.0, 52.0]		|Share
5	4	Group	[1854, 0, 456, 104]	[2082.0, 52.0]		
6	5	TextField	[1860, 22, 444, 62]	[2082.0, 53.0]		
7	6	Button	[1864, 30, 50, 44]	[1889.0, 52.0]		|search
3	1	StaticText	[496, 0, 426, 104]	[709.0, 52.0]	Latest News	
2	1	StaticText	[496, 0, 426, 104]	[709.0, 52.0]	0 articles	
