id	pid	role	visible_bbox	center	value	description
1	0	Window	[0, 0, 2200, 1548]	[1100.0, 774.0]		Main Window
3	1	SplitGroup	[0, 0, 2200, 1548]	[1100.0, 774.0]		
26	3	ScrollArea	[0, 80, 500, 1408]	[250.0, 784.0]		
27	26	Outline	[0, 80, 500, 1408]	[250.0, 784.0]		
94	27	Row	[0, 80, 500, 38]	[250.0, 99.0]		
95	94	Cell	[20, 80, 460, 38]	[250.0, 99.0]		
96	95	StaticText	[28, 84, 468, 28]	[262.0, 98.0]	NotePlan	
90	27	Row	[0, 118, 500, 56]	[250.0, 146.0]		
91	90	Cell	[20, 118, 460, 56]	[250.0, 146.0]		
93	91	Image	[50, 126, 40, 40]	[70.0, 146.0]		|
92	91	StaticText	[94, 130, 374, 32]	[281.0, 146.0]	Search	
85	27	Row	[0, 174, 500, 56]	[250.0, 202.0]		
86	85	Cell	[20, 174, 460, 56]	[250.0, 202.0]		
89	86	Image	[50, 182, 40, 40]	[70.0, 202.0]		|
88	86	StaticText	[94, 186, 374, 32]	[281.0, 202.0]	Filters	
87	86	DisclosureTriangle	[24, 174, 26, 56]	[37.0, 202.0]	0	
82	27	Row	[0, 256, 500, 38]	[250.0, 275.0]		
83	82	Cell	[20, 256, 460, 38]	[250.0, 275.0]		
84	83	StaticText	[28, 260, 468, 28]	[262.0, 274.0]	Calendar Notes	
78	27	Row	[0, 294, 500, 56]	[250.0, 322.0]		
79	78	Cell	[20, 294, 460, 56]	[250.0, 322.0]		
81	79	Image	[50, 302, 40, 40]	[70.0, 322.0]		|
80	79	StaticText	[94, 306, 374, 32]	[281.0, 322.0]	Daily	
74	27	Row	[0, 350, 500, 56]	[250.0, 378.0]		
75	74	Cell	[20, 350, 460, 56]	[250.0, 378.0]		
77	75	Image	[50, 358, 40, 40]	[70.0, 378.0]		|
76	75	StaticText	[94, 362, 374, 32]	[281.0, 378.0]	Weekly	
70	27	Row	[0, 406, 500, 56]	[250.0, 434.0]		
71	70	Cell	[20, 406, 460, 56]	[250.0, 434.0]		
73	71	Image	[50, 414, 40, 40]	[70.0, 434.0]		|
72	71	StaticText	[94, 418, 374, 32]	[281.0, 434.0]	7-Day	
67	27	Row	[0, 488, 500, 38]	[250.0, 507.0]		
68	67	Cell	[20, 488, 460, 38]	[250.0, 507.0]		
69	68	StaticText	[28, 492, 468, 28]	[262.0, 506.0]	Notes	
62	27	Row	[0, 526, 500, 56]	[250.0, 554.0]		
63	62	Cell	[20, 526, 460, 56]	[250.0, 554.0]		
66	63	Image	[50, 534, 40, 40]	[70.0, 554.0]		|
65	63	TextField	[94, 538, 374, 32]	[281.0, 554.0]	Demo Project	
64	63	DisclosureTriangle	[24, 526, 26, 56]	[37.0, 554.0]	0	
59	27	Row	[0, 608, 500, 38]	[250.0, 627.0]		
60	59	Cell	[20, 608, 460, 38]	[250.0, 627.0]		
61	60	StaticText	[28, 612, 468, 28]	[262.0, 626.0]	Smart Folders	
54	27	Row	[0, 646, 500, 56]	[250.0, 674.0]		
55	54	Cell	[20, 646, 460, 56]	[250.0, 674.0]		
58	55	Image	[50, 654, 40, 40]	[70.0, 674.0]		|
57	55	StaticText	[94, 658, 374, 32]	[281.0, 674.0]	Recent	
56	55	DisclosureTriangle	[24, 646, 26, 56]	[37.0, 674.0]	0	
50	27	Row	[0, 702, 500, 56]	[250.0, 730.0]		
51	50	Cell	[20, 702, 460, 56]	[250.0, 730.0]		
53	51	Image	[50, 710, 40, 40]	[70.0, 730.0]		|
52	51	StaticText	[94, 714, 374, 32]	[281.0, 730.0]	Archive	
46	27	Row	[0, 758, 500, 56]	[250.0, 786.0]		
47	46	Cell	[20, 758, 460, 56]	[250.0, 786.0]		
49	47	Image	[50, 766, 40, 40]	[70.0, 786.0]		|
48	47	StaticText	[94, 770, 374, 32]	[281.0, 786.0]	Templates	
42	27	Row	[0, 814, 500, 56]	[250.0, 842.0]		
43	42	Cell	[20, 814, 460, 56]	[250.0, 842.0]		
45	43	Image	[50, 822, 40, 40]	[70.0, 842.0]		|
44	43	StaticText	[94, 826, 374, 32]	[281.0, 842.0]	Trash	
39	27	Row	[0, 896, 500, 38]	[250.0, 915.0]		
40	39	Cell	[20, 896, 460, 38]	[250.0, 915.0]		
41	40	StaticText	[28, 900, 468, 28]	[262.0, 914.0]	Tags	
34	27	Row	[0, 934, 500, 56]	[250.0, 962.0]		
35	34	Cell	[20, 934, 460, 56]	[250.0, 962.0]		
38	35	Image	[50, 942, 40, 40]	[70.0, 962.0]		|
37	35	StaticText	[94, 946, 374, 32]	[281.0, 962.0]	Mentions (2)	
36	35	DisclosureTriangle	[24, 934, 26, 56]	[37.0, 962.0]	0	
29	27	Row	[0, 990, 500, 56]	[250.0, 1018.0]		
30	29	Cell	[20, 990, 460, 56]	[250.0, 1018.0]		
33	30	Image	[50, 998, 40, 40]	[70.0, 1018.0]		|
32	30	StaticText	[94, 1002, 374, 32]	[281.0, 1018.0]	Hashtags (2)	
31	30	DisclosureTriangle	[24, 990, 26, 56]	[37.0, 1018.0]	0	
28	27	Column	[20, 80, 460, 1408]	[250.0, 784.0]		
25	3	Button	[0, 1494, 240, 46]	[120.0, 1517.0]		   Note/Folder
24	3	Button	[308, 1500, 44, 36]	[330.0, 1518.0]		
23	3	Button	[352, 1500, 44, 36]	[374.0, 1518.0]		
22	3	Button	[396, 1498, 52, 40]	[422.0, 1518.0]		
21	3	Button	[448, 1498, 52, 40]	[474.0, 1518.0]		
20	3	Splitter	[500, 76, 4, 1472]	[502.0, 812.0]	250.0	
19	3	StaticText	[604, 56, 304, 82]	[756.0, 97.0]	   Mentions	
4	3	ScrollArea	[608, 168, 1552, 1340]	[1384.0, 838.0]		
5	4	Table	[608, 168, 1552, 1340]	[1384.0, 838.0]		
16	5	Row	[608, 188, 1552, 68]	[1384.0, 222.0]		
17	16	Cell	[640, 198, 1488, 48]	[1384.0, 222.0]		
18	17	StaticText	[640, 202, 1488, 42]	[1384.0, 223.0]	  Tim	
13	5	Row	[608, 256, 1552, 68]	[1384.0, 290.0]		
14	13	Cell	[640, 266, 1488, 48]	[1384.0, 290.0]		
15	14	StaticText	[640, 270, 1488, 42]	[1384.0, 291.0]	  client	
10	5	Row	[608, 324, 1552, 68]	[1384.0, 358.0]		
11	10	Cell	[640, 334, 1488, 48]	[1384.0, 358.0]		
12	11	StaticText	[640, 338, 1488, 42]	[1384.0, 359.0]	  client/acme	
7	5	Row	[608, 392, 1552, 68]	[1384.0, 426.0]		
8	7	Cell	[640, 402, 1488, 48]	[1384.0, 426.0]		
9	8	StaticText	[640, 406, 1488, 42]	[1384.0, 427.0]	  client/acme/dan	
6	5	Column	[628, 168, 1512, 1340]	[1384.0, 838.0]		
2	1	Toolbar	[0, 0, 2200, 76]	[1100.0, 38.0]		
