id	pid	role	visible_bbox	center	value	description
1	0	Window	[0, 0, 2520, 1718]	[1260.0, 859.0]		clustered_queries_06.numbers
94	1	Group	[0, 196, 2520, 1522]	[1260.0, 957.0]		
85	1	ScrollArea	[0, 196, 1978, 1522]	[989.0, 957.0]		
90	85	ScrollBar	[0, 1686, 1978, 32]	[989.0, 1702.0]	0.0	
93	90	ValueIndicator	[2, 1694, 1760, 24]	[882.0, 1706.0]	0.0	
92	90	Button	[1762, 1694, 214, 24]	[1869.0, 1706.0]		
91	90	Button	[0, 1694, 2, 24]	[1.0, 1706.0]		
86	85	ScrollBar	[1946, 196, 32, 1522]	[1962.0, 957.0]	7.00726565857974e-05	
89	86	ValueIndicator	[1954, 198, 24, 52]	[1966.0, 224.0]	7.00726565857974e-05	
88	86	Button	[1954, 250, 24, 1466]	[1966.0, 983.0]		
87	86	Button	[1954, 196, 24, 2]	[1966.0, 197.0]		
84	1	Button	[0, 136, 94, 60]	[47.0, 166.0]		|add
82	1	ScrollArea	[94, 140, 1884, 56]	[1036.0, 168.0]		
83	82	StaticText	[152, 152, 108, 30]	[206.0, 167.0]	Sheet 1	
81	1	Button	[1978, 138, 46, 58]	[2001.0, 167.0]		|Back
80	1	Button	[2024, 138, 46, 58]	[2047.0, 167.0]		|Forward
75	1	RadioGroup	[1980, 140, 540, 56]	[2250.0, 168.0]	<AXUIElement 0x131839c80> {pid=2094}	
79	75	RadioButton	[1980, 140, 140, 56]	[2050.0, 168.0]	0	|Table
78	75	RadioButton	[2120, 140, 134, 56]	[2187.0, 168.0]	0	|Cell
77	75	RadioButton	[2254, 140, 134, 56]	[2321.0, 168.0]	0	|Text
76	75	RadioButton	[2388, 140, 132, 56]	[2454.0, 168.0]	1	|Arrange
36	1	ScrollArea	[1980, 196, 540, 1522]	[2250.0, 957.0]		
72	36	Group	[2006, 238, 236, 48]	[2124.0, 262.0]		
74	72	Button	[2006, 238, 118, 48]	[2065.0, 262.0]		
73	72	Button	[2124, 238, 116, 48]	[2182.0, 262.0]		
69	36	Group	[2258, 238, 236, 48]	[2376.0, 262.0]		
71	69	Button	[2258, 238, 118, 48]	[2317.0, 262.0]		
