id	pid	role	visible_bbox	center	value	description
1	0	Window	[0, 0, 2048, 1536]	[1024.0, 768.0]		
3	1	Group	[0, 0, 2048, 1536]	[1024.0, 768.0]		
4	3	Group	[0, 0, 2048, 1536]	[1024.0, 768.0]		
32	4	Group	[0, 0, 440, 1536]	[220.0, 768.0]		
33	32	Group	[0, 0, 440, 1536]	[220.0, 768.0]		
34	33	Group	[0, 0, 440, 1536]	[220.0, 768.0]		|Sidebar
46	34	TextField	[20, 114, 400, 60]	[220.0, 144.0]	ai house podcast	
45	34	StaticText	[20, 194, 400, 48]	[220.0, 218.0]		|Apple Podcasts
44	34	StaticText	[20, 242, 400, 56]	[220.0, 270.0]		|Listen Now
43	34	StaticText	[20, 298, 400, 56]	[220.0, 326.0]		|Browse
42	34	StaticText	[20, 354, 400, 56]	[220.0, 382.0]		|Charts
41	34	Button	[20, 430, 400, 48]	[220.0, 454.0]		|Library
40	34	StaticText	[20, 478, 400, 56]	[220.0, 506.0]		|Recently Updated
39	34	StaticText	[20, 534, 400, 56]	[220.0, 562.0]		|Shows
38	34	StaticText	[20, 590, 400, 56]	[220.0, 618.0]		|Channels
37	34	StaticText	[20, 646, 400, 56]	[220.0, 674.0]		|Saved
36	34	StaticText	[20, 702, 400, 56]	[220.0, 730.0]		|Downloaded
35	34	StaticText	[20, 758, 400, 56]	[220.0, 786.0]		|Latest Episodes
31	4	Splitter	[440, 0, 2, 1536]	[441.0, 768.0]	21.484375	
5	4	Group	[442, 0, 1606, 1536]	[1245.0, 768.0]		
18	5	Group	[442, 0, 1606, 104]	[1245.0, 52.0]		|Control Bar
27	18	Group	[562, 24, 200, 56]	[662.0, 52.0]		
30	27	Button	[562, 24, 64, 56]	[594.0, 52.0]		
29	27	Button	[630, 24, 64, 56]	[662.0, 52.0]		|Play
28	27	Button	[698, 24, 64, 56]	[730.0, 52.0]		
26	18	Image	[880, 10, 84, 84]	[922.0, 52.0]		|Podcast Artwork
25	18	Button	[1576, 36, 22, 34]	[1587.0, 53.0]		|Mute
24	18	Slider	[1594, 36, 148, 34]	[1668.0, 53.0]	1.0	|Volume
23	18	Button	[1742, 36, 34, 34]	[1759.0, 53.0]		|Full Volume
22	18	Button	[1830, 20, 64, 58]	[1862.0, 49.0]		|Audio Routing
19	18	Group	[1898, 26, 120, 52]	[1958.0, 52.0]		
21	19	Button	[1898, 26, 64, 52]	[1930.0, 52.0]		|Episode Notes
20	19	Button	[1966, 26, 52, 52]	[1992.0, 52.0]		|List
6	5	Group	[442, 0, 1606, 1536]	[1245.0, 768.0]		
7	6	Group	[442, 0, 1606, 1536]	[1245.0, 768.0]		
17	7	Heading	[442, 168, 1606, 104]	[1245.0, 220.0]		|Listen Now
16	7	Button	[522, 272, 1446, 96]	[1245.0, 320.0]		|Up Next ￼
14	7	Group	[522, 368, 454, 606]	[749.0, 671.0]		|Up Next
15	14	GenericElement	[520, 366, 456, 608]	[748.0, 670.0]		|Банка Щастя, SAVED · 🅴, #1: Що для тебе щастя, Серж Міськів?, Привіт, щасливчики! У цьому пілотному епізоді я буду гостем, а ведучим я запросив Андрія Фединишина, людину яка шарить в подкастах та маркетингу, а ще мого доброго друга.       Говоримо про:   - що таке щастя?;   - чи розділяєш професійне щастя і особисте;   - заснування паста вечорів;   - залежність на залежності;   - для чого цей подкаст;   - 3 речі, що роблять тебе щасливим;   - що зробиш одразу після перемоги;       Підписуйся на мене в інсті - https://www.instagram.com/serjjedi/   На мій подкаст - https://www.instagram.com/banka.schastya.live/   та Андрія - https://www.instagram.com/andriy_fedynyshyn/, More
12	7	Group	[1016, 368, 454, 606]	[1243.0, 671.0]		|Up Next
13	12	GenericElement	[1016, 366, 456, 608]	[1244.0, 670.0]		|Проєкт Інтелект, FOLLOWED, Епізод 9. Need for speed: як штучний інтелект спонукає нас пришвидшуватися, Якщо ви не експериментуєте від 20 до 100 разів на тиждень, ви рухаєтеся надто повільно. Якщо ви не здійснюєте хоча б 20–100 експериментів на місяць, ви просто вибуваєте з гри. І хоча штучний інтелект вас не замінить, але вас замінить людина з ШІ. Тому сьогодні ми поговоримо про швидкість у роботі й житті, яку вимагають від нас сьогоднішні реалії. А щоб зробити цей випуск максимально прикладним, ми поділимося корисними інструментами, які допоможуть працювати швидше й ефективніше., More
10	7	Group	[1512, 368, 454, 606]	[1739.0, 671.0]		|Up Next
11	10	GenericElement	[1510, 366, 456, 608]	[1738.0, 670.0]		|Простими словами, FOLLOWED, «Ти як» #19 Лікар Олег Романчук. Світлі думки для темних часів, Гостем фінального епізоду спеціального сезону подкасту «Простими словами» став лікар-психотерапевт Олег Романчук. Подкаст «Простими словами» після невеликої перерви повернеться з новим сезоном у другій половині січня 2024 року.  Приєднуйтеся до патреону, щоб отримати доступ до чату патронів та ексклюзивного контенту:  ⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠https://www.patreon.com/user?u=50286152⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠  Пригостіть нас кавою:  ⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠https://bit.ly/47B0X9d⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠  Придбати наші книги:  ⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠⁠http://surl.li/iaxzj  Проєкт реалізовано в межах Всеукраїнської програми ментального здоров’я «Ти як?» – ініціативи Першої леді України за підтримки компанії Visa у співпраці з Координаційним центром із психічного здоров’я при Кабінеті міністрів України та громадською організацією «Безбар’єрність»., More
8	7	Group	[2006, 368, 42, 606]	[2027.0, 671.0]		|Up Next
