id	pid	role	visible_bbox	center	value	description
1	0	Window	[0, 0, 2648, 1718]	[1324.0, 859.0]		Start Page
19	1	SplitGroup	[0, 0, 2648, 1718]	[1324.0, 859.0]		
80	19	Group	[0, 104, 650, 1614]	[325.0, 911.0]		
106	80	Button	[38, 102, 44, 46]	[60.0, 125.0]		|Back
105	80	StaticText	[92, 104, 172, 38]	[178.0, 123.0]	Bookmarks	
81	80	ScrollArea	[0, 178, 650, 1540]	[325.0, 948.0]		|bookmarks
102	81	Group	[0, 118, 650, 60]	[325.0, 148.0]		
103	102	TextField	[24, 126, 602, 44]	[325.0, 148.0]		
104	103	Button	[28, 126, 50, 44]	[53.0, 148.0]		|Search
86	81	Outline	[0, 178, 650, 1540]	[325.0, 948.0]		|bookmarks
100	86	Row	[0, 118, 650, 60]	[325.0, 148.0]		
101	100	Cell	[20, 118, 610, 60]	[325.0, 148.0]		
94	86	Row	[0, 178, 650, 52]	[325.0, 204.0]		
95	94	Cell	[20, 178, 610, 52]	[325.0, 204.0]		|Favourites
97	95	TextField	[50, 178, 600, 52]	[350.0, 204.0]		|Favourites
99	97	Image	[50, 178, 36, 50]	[68.0, 203.0]		|favourite
98	97	TextField	[92, 188, 542, 32]	[363.0, 204.0]	Favourites	
96	95	DisclosureTriangle	[24, 178, 26, 52]	[37.0, 204.0]	0	
88	86	Row	[0, 230, 650, 52]	[325.0, 256.0]		
89	88	Cell	[20, 230, 610, 52]	[325.0, 256.0]		|Tab Group Favourites
91	89	TextField	[50, 230, 600, 52]	[350.0, 256.0]		|Tab Group Favourites
93	91	Image	[50, 230, 36, 50]	[68.0, 255.0]		|
92	91	TextField	[92, 240, 542, 32]	[363.0, 256.0]	Tab Group Favourites	
90	89	DisclosureTriangle	[24, 230, 26, 52]	[37.0, 256.0]	0	
87	86	Column	[20, 118, 610, 1600]	[325.0, 918.0]		
82	81	ScrollBar	[618, 178, 32, 1540]	[634.0, 948.0]	1.0	
85	82	ValueIndicator	[618, 238, 32, 1478]	[634.0, 977.0]	1.0	
84	82	Button	[618, 1716, 32, 2]	[634.0, 1717.0]		
83	82	Button	[618, 178, 32, 58]	[634.0, 207.0]		
79	19	Splitter	[650, 104, 2, 1614]	[651.0, 911.0]	325.0	
20	19	TabGroup	[652, 0, 1996, 1718]	[1650.0, 859.0]		
22	20	ScrollArea	[652, 104, 1996, 1614]	[1650.0, 911.0]		
27	22	List	[652, 104, 1996, 1614]	[1650.0, 911.0]		
59	27	List	[1010, 232, 1280, 286]	[1650.0, 375.0]		|Favourites
76	59	Group	[1010, 232, 1280, 84]	[1650.0, 274.0]		
77	76	Unknown	[1010, 232, 1280, 84]	[1650.0, 274.0]		|Favourites
78	77	Button	[1010, 232, 224, 52]	[1122.0, 258.0]		Favourites
72	59	Button	[1010, 316, 128, 202]	[1074.0, 417.0]		|Apple
75	72	Image	[1010, 316, 128, 128]	[1074.0, 380.0]		|
74	72	Image	[990, 296, 166, 166]	[1073.0, 379.0]		|Apple
73	72	Button	[1006, 458, 136, 28]	[1074.0, 472.0]	Apple	|Apple
68	59	Button	[1154, 316, 128, 202]	[1218.0, 417.0]		|Yandex
71	68	Image	[1154, 316, 128, 128]	[1218.0, 380.0]		|
70	68	Image	[1134, 296, 166, 166]	[1217.0, 379.0]		|Yandex
69	68	Button	[1150, 458, 136, 28]	[1218.0, 472.0]	Yandex	|Yandex
64	59	Button	[1298, 316, 128, 202]	[1362.0, 417.0]		|Bing
67	64	Image	[1298, 316, 128, 128]	[1362.0, 380.0]		|
66	64	Image	[1278, 296, 166, 166]	[1361.0, 379.0]		|Bing
65	64	Button	[1294, 458, 136, 28]	[1362.0, 472.0]	Bing	|Bing
60	59	Button	[1442, 316, 128, 202]	[1506.0, 417.0]		|Google
63	60	Image	[1442, 316, 128, 128]	[1506.0, 380.0]		|
62	60	Image	[1422, 296, 166, 166]	[1505.0, 379.0]		|Google
