id	pid	role	visible_bbox	center	value	description
1	0	Window	[0, 0, 2200, 1280]	[1100.0, 640.0]		
63	1	Table	[20, 170, 350, 760]	[195.0, 550.0]		|Application categories
105	63	Row	[20, 170, 350, 80]	[195.0, 210.0]		
106	105	Cell	[32, 170, 326, 80]	[195.0, 210.0]		
108	106	Image	[38, 182, 32, 32]	[54.0, 198.0]		|Discover
107	106	StaticText	[88, 182, 152, 32]	[164.0, 198.0]	My Explorer	
101	63	Row	[20, 250, 350, 80]	[195.0, 290.0]		
102	101	Cell	[32, 250, 326, 80]	[195.0, 290.0]		
104	102	Image	[38, 262, 32, 32]	[54.0, 278.0]		|Favorites
103	102	StaticText	[88, 262, 118, 32]	[147.0, 278.0]	Favorites	
97	63	Row	[20, 330, 350, 80]	[195.0, 370.0]		
98	97	Cell	[32, 330, 326, 80]	[195.0, 370.0]		
100	98	Image	[38, 342, 32, 32]	[54.0, 358.0]		|OnThisMac
99	98	StaticText	[88, 342, 160, 32]	[168.0, 358.0]	On This Mac	
93	63	Row	[20, 410, 350, 80]	[195.0, 450.0]		
94	93	Cell	[32, 410, 326, 80]	[195.0, 450.0]		
96	94	Image	[38, 422, 32, 32]	[54.0, 438.0]		|Collections
95	94	StaticText	[88, 422, 144, 32]	[160.0, 438.0]	Collections	
89	63	Row	[20, 490, 350, 80]	[195.0, 530.0]		
90	89	Cell	[32, 490, 326, 80]	[195.0, 530.0]		
92	90	Image	[38, 502, 32, 32]	[54.0, 518.0]		|How Tos
91	90	StaticText	[88, 502, 110, 32]	[143.0, 518.0]	How-tos	
85	63	Row	[20, 570, 350, 80]	[195.0, 610.0]		
86	85	Cell	[32, 570, 326, 80]	[195.0, 610.0]		
88	86	Image	[38, 582, 32, 32]	[54.0, 598.0]		|Tutorials
87	86	StaticText	[88, 582, 148, 32]	[162.0, 598.0]	App Guides	
81	63	Row	[20, 650, 350, 56]	[195.0, 678.0]		
82	81	Cell	[32, 650, 326, 56]	[195.0, 678.0]		
84	82	Image	[38, 662, 32, 32]	[54.0, 678.0]		|AllApps
83	82	StaticText	[88, 662, 108, 32]	[142.0, 678.0]	All Apps	
77	63	Row	[20, 706, 350, 56]	[195.0, 734.0]		
78	77	Cell	[32, 706, 326, 56]	[195.0, 734.0]		
80	78	Image	[38, 718, 32, 32]	[54.0, 734.0]		|
79	78	StaticText	[88, 718, 116, 32]	[146.0, 734.0]	Optimize	
73	63	Row	[20, 762, 350, 56]	[195.0, 790.0]		
74	73	Cell	[32, 762, 326, 56]	[195.0, 790.0]		
76	74	Image	[38, 774, 32, 32]	[54.0, 790.0]		|
75	74	StaticText	[88, 774, 70, 32]	[123.0, 790.0]	Work	
69	63	Row	[20, 818, 350, 56]	[195.0, 846.0]		
70	69	Cell	[32, 818, 326, 56]	[195.0, 846.0]		
72	70	Image	[38, 830, 32, 32]	[54.0, 846.0]		|
71	70	StaticText	[88, 830, 88, 32]	[132.0, 846.0]	Create	
65	63	Row	[20, 874, 350, 56]	[195.0, 902.0]		
66	65	Cell	[32, 874, 326, 56]	[195.0, 902.0]		
68	66	Image	[38, 886, 32, 32]	[54.0, 902.0]		|
67	66	StaticText	[88, 886, 106, 32]	[141.0, 902.0]	Develop	
64	63	Column	[20, 170, 350, 760]	[195.0, 550.0]		
61	1	Unknown	[332, 38, 28, 32]	[346.0, 54.0]		|Forward
62	61	Image	[336, 38, 20, 32]	[346.0, 54.0]		|
59	1	Unknown	[276, 38, 28, 32]	[290.0, 54.0]		|Back
60	59	Image	[280, 38, 20, 32]	[290.0, 54.0]		|NavigationArrow
13	1	Group	[390, 10, 1800, 1260]	[1290.0, 640.0]		
14	13	Group	[390, 10, 1800, 1260]	[1290.0, 640.0]		|SnapMotion
15	14	ScrollArea	[390, 10, 1800, 1260]	[1290.0, 640.0]		
58	15	Image	[490, 212, 280, 280]	[630.0, 352.0]		|Application icon
57	15	StaticText	[830, 232, 288, 60]	[974.0, 262.0]	SnapMotion	
56	15	StaticText	[830, 322, 394, 32]	[1027.0, 338.0]	Capture snaps from your videos	
55	15	Button	[830, 402, 220, 52]	[940.0, 428.0]		|Install
53	15	Button	[1074, 402, 200, 52]	[1174.0, 428.0]		|Get iOS App
54	53	StaticText	[1094, 412, 160, 32]	[1174.0, 428.0]	Get iOS App	
51	15	Button	[1298, 402, 64, 52]	[1330.0, 428.0]		Favorite
52	51	Button	[1294, 398, 72, 60]	[1330.0, 428.0]		|Favorite
50	15	Button	[1374, 402, 64, 52]	[1406.0, 428.0]		Share|Share
49	15	Link	[830, 494, 166, 30]	[913.0, 509.0]		Version 5.2.0
48	15	StaticText	[1020, 494, 98, 30]	[1069.0, 509.0]	18.5 MB	
47	15	StaticText	[1142, 494, 266, 30]	[1275.0, 509.0]	Native on Apple silicon	
46	15	StaticText	[1432, 494, 144, 30]	[1504.0, 509.0]	7 languages	
44	15	Button	[1584, 492, 32, 32]	[1600.0, 508.0]		
45	44	Image	[1584, 492, 32, 32]	[1600.0, 508.0]		|InfoButtonIcon
43	15	Link	[1924, 494, 166, 30]	[2007.0, 509.0]		NeededApps
42	15	Image	[1930, 250, 32, 32]	[1946.0, 266.0]		|RateAppIcon
41	15	Link	[1972, 234, 118, 58]	[2031.0, 263.0]		99%
40	15	Link	[1778, 324, 136, 30]	[1846.0, 339.0]		108 ratings
39	15	Link	[1934, 324, 156, 30]	[2012.0, 339.0]		Rate the app
38	15	StaticText	[490, 840, 306, 38]	[643.0, 859.0]	Screenshots & videos	
35	15	Group	[1884, 830, 204, 60]	[1986.0, 860.0]		
37	35	RadioButton	[1894, 840, 96, 40]	[1942.0, 860.0]	True	|Mac
36	35	RadioButton	[1990, 840, 88, 40]	[2034.0, 860.0]	False	|iOS
28	15	ScrollArea	[390, 920, 1800, 360]	[1290.0, 1100.0]		|Application screenshots area
33	28	Image	[490, 936, 780, 344]	[880.0, 1108.0]		|Screenshot
34	33	Image	[490, 936, 780, 344]	[880.0, 1108.0]		
31	28	Image	[1310, 936, 780, 344]	[1700.0, 1108.0]		|Screenshot
32	31	Image	[1310, 936, 780, 344]	[1700.0, 1108.0]		
29	28	Image	[2130, 936, 70, 344]	[2165.0, 1108.0]		|Screenshot
30	29	Image	[2130, 936, 70, 344]	[2165.0, 1108.0]		
27	15	Image	[490, 640, 32, 32]	[506.0, 656.0]		|BulletIcon
26	15	StaticText	[542, 638, 728, 34]	[906.0, 655.0]	Get high-quality snaps from your videos	
25	15	Image	[1310, 640, 32, 32]	[1326.0, 656.0]		|BulletIcon
24	15	StaticText	[1362, 638, 728, 34]	[1726.0, 655.0]	Extract numerous images in batch mode	
23	15	Image	[490, 700, 32, 32]	[506.0, 716.0]		|BulletIcon
22	15	StaticText	[542, 698, 728, 34]	[906.0, 715.0]	Open videos from Finder, Photos, links	
21	15	Image	[1310, 700, 32, 32]	[1326.0, 716.0]		|BulletIcon
20	15	StaticText	[1362, 698, 728, 34]	[1726.0, 715.0]	Rotate or flip videos before capturing	
16	15	ScrollBar	[2158, 152, 32, 1114]	[2174.0, 709.0]	0.0	
19	16	ValueIndicator	[2166, 154, 24, 496]	[2178.0, 402.0]	0.0	
18	16	Button	[2166, 650, 24, 614]	[2178.0, 957.0]		
17	16	Button	[2166, 152, 24, 2]	[2178.0, 153.0]		
11	1	Button	[2090, 14, 96, 96]	[2138.0, 62.0]		|Your account picture
12	11	Image	[2090, 50, 60, 60]	[2120.0, 80.0]		
9	1	Link	[1704, 64, 220, 32]	[1814.0, 80.0]		|Team member
10	9	StaticText	[1744, 64, 180, 32]	[1834.0, 80.0]	Team member	
