id	pid	role	visible_bbox	center	value	description
1	0	Window	[0, 0, 2540, 1600]	[1270.0, 800.0]		Spark Mail
2	1	Group	[0, 0, 2540, 1600]	[1270.0, 800.0]		|
3	2	Group	[0, 0, 2540, 1600]	[1270.0, 800.0]		|
4	3	Group	[0, 0, 2540, 1600]	[1270.0, 800.0]		|
5	4	Group	[0, 0, 2540, 1600]	[1270.0, 800.0]		|
6	5	WebArea	[0, 0, 2540, 1600]	[1270.0, 800.0]		Webpack App|
7	6	Group	[0, 0, 2540, 2]	[1270.0, 1.0]		|
8	7	Group	[0, 0, 2540, 1600]	[1270.0, 800.0]		|
16	8	Group	[0, 0, 2540, 1600]	[1270.0, 800.0]		|
105	16	Group	[124, 0, 2416, 64]	[1332.0, 32.0]		|
106	105	Group	[124, 0, 2416, 64]	[1332.0, 32.0]		|
18	16	Group	[0, 0, 2540, 1600]	[1270.0, 800.0]		|
80	18	Group	[0, 0, 2, 1600]	[1.0, 800.0]		|
81	80	Group	[0, 0, 2, 1600]	[1.0, 800.0]		|
99	81	Group	[0, 0, 2, 1600]	[1.0, 800.0]		|
104	99	Group	[0, 0, 2, 64]	[1.0, 32.0]		|
100	99	Group	[0, 1500, 2, 60]	[1.0, 1530.0]		|
101	100	Button	[0, 1500, 2, 60]	[1.0, 1530.0]		M|
102	101	Group	[0, 1508, 2, 44]	[1.0, 1530.0]		|
103	102	StaticText	[0, 1520, 2, 20]	[1.0, 1530.0]	M	|
82	81	Group	[0, 0, 2, 1600]	[1.0, 800.0]		|
98	82	StaticText	[0, 120, 2, 38]	[1.0, 139.0]	Tuesday, 06 February	|
96	82	Group	[0, 158, 2, 88]	[1.0, 202.0]		|
97	96	StaticText	[0, 158, 2, 88]	[1.0, 202.0]	0:34	|
90	82	Group	[0, 140, 2, 80]	[1.0, 180.0]		|
91	90	Group	[0, 140, 2, 80]	[1.0, 180.0]		|
92	91	Group	[0, 140, 2, 80]	[1.0, 180.0]		|
93	92	Button	[0, 140, 2, 80]	[1.0, 180.0]		No Email Preview|
95	93	StaticText	[0, 164, 2, 34]	[1.0, 181.0]	No Email Preview	|
94	93	Image	[0, 174, 2, 16]	[1.0, 182.0]		|
85	82	Group	[0, 140, 2, 590]	[1.0, 435.0]		|
88	85	Button	[0, 140, 2, 80]	[1.0, 180.0]		|
89	88	Image	[0, 156, 2, 48]	[1.0, 180.0]		|
86	85	Button	[0, 140, 2, 80]	[1.0, 180.0]		|
87	86	Image	[0, 156, 2, 48]	[1.0, 180.0]		|
83	82	Group	[0, 794, 2, 76]	[1.0, 832.0]		|
84	83	Button	[0, 794, 2, 76]	[1.0, 832.0]		Check Inbox|
19	18	Group	[0, 0, 2540, 1600]	[1270.0, 800.0]		|
49	19	Group	[0, 0, 124, 1600]	[62.0, 800.0]		|
50	49	Group	[0, 0, 124, 1600]	[62.0, 800.0]		|
51	50	Group	[0, 0, 124, 1600]	[62.0, 800.0]		|
79	51	Group	[0, 0, 124, 64]	[62.0, 32.0]		|
56	51	Group	[0, 64, 124, 1416]	[62.0, 772.0]		|
57	56	Group	[0, 64, 124, 1416]	[62.0, 772.0]		|
76	57	Group	[32, 74, 60, 60]	[62.0, 104.0]		|
77	76	Button	[32, 74, 60, 60]	[62.0, 104.0]		|
78	77	Image	[38, 80, 48, 48]	[62.0, 104.0]		|
73	57	Group	[0, 138, 124, 60]	[62.0, 168.0]		|
74	73	Button	[32, 138, 60, 60]	[62.0, 168.0]		|
75	74	Image	[38, 144, 48, 48]	[62.0, 168.0]		|
70	57	Group	[0, 202, 124, 60]	[62.0, 232.0]		|
71	70	Button	[32, 202, 60, 60]	[62.0, 232.0]		|
72	71	Image	[38, 208, 48, 48]	[62.0, 232.0]		|
67	57	Group	[0, 266, 124, 60]	[62.0, 296.0]		|
68	67	Button	[32, 266, 60, 60]	[62.0, 296.0]		|
69	68	Image	[38, 272, 48, 48]	[62.0, 296.0]		|
64	57	Group	[0, 330, 124, 60]	[62.0, 360.0]		|
65	64	Button	[32, 330, 60, 60]	[62.0, 360.0]		|
66	65	Image	[38, 336, 48, 48]	[62.0, 360.0]		|
61	57	Group	[0, 394, 124, 60]	[62.0, 424.0]		|
62	61	Button	[32, 394, 60, 60]	[62.0, 424.0]		|
63	62	Image	[38, 400, 48, 48]	[62.0, 424.0]		|
58	57	Group	[32, 458, 60, 60]	[62.0, 488.0]		|
59	58	Button	[32, 458, 60, 60]	[62.0, 488.0]		|
60	59	Image	[38, 464, 48, 48]	[62.0, 488.0]		|
52	51	Group	[0, 1500, 124, 60]	[62.0, 1530.0]		|
53	52	Button	[32, 1500, 60, 60]	[62.0, 1530.0]		|
54	53	Group	[40, 1508, 44, 44]	[62.0, 1530.0]		|
55	54	Image	[40, 1508, 44, 44]	[62.0, 1530.0]		|/4AB9D2F2-66B5-4C64-BCAE-43DB6F702AFC-44x44
20	19	Group	[124, 0, 2416, 1600]	[1332.0, 800.0]		|
21	20	Group	[124, 0, 2416, 1600]	[1332.0, 800.0]		|
28	21	Group	[124, 0, 2416, 1600]	[1332.0, 800.0]		|
29	28	Group	[124, 38, 2416, 1562]	[1332.0, 819.0]		|
31	29	Group	[124, 38, 2416, 1562]	[1332.0, 819.0]		|
40	31	Group	[124, 38, 2416, 120]	[1332.0, 98.0]		|
48	40	StaticText	[284, 84, 78, 34]	[323.0, 101.0]	Trash	|
46	40	Button	[2228, 68, 64, 64]	[2260.0, 100.0]		|
47	46	Image	[2234, 76, 48, 48]	[2258.0, 100.0]		|
44	40	Button	[2318, 68, 64, 64]	[2350.0, 100.0]		|
45	44	Image	[2324, 76, 48, 48]	[2348.0, 100.0]		|
41	40	Group	[144, 76, 76, 52]	[182.0, 102.0]		|
42	41	Button	[146, 78, 48, 48]	[170.0, 102.0]		|
43	42	Image	[146, 78, 48, 48]	[170.0, 102.0]		|
32	31	Group	[124, 158, 2416, 1442]	[1332.0, 879.0]		|
39	32	Group	[124, 158, 2416, 1442]	[1332.0, 879.0]		|
33	32	Group	[124, 326, 2416, 1108]	[1332.0, 880.0]		|
38	33	StaticText	[1092, 1094, 480, 122]	[1332.0, 1155.0]	Great job!	|
37	33	StaticText	[888, 1230, 890, 72]	[1333.0, 1266.0]	You have done everything here	|
34	33	Group	[1188, 1358, 288, 76]	[1332.0, 1396.0]		|
35	34	Group	[1188, 1358, 288, 76]	[1332.0, 1396.0]		|
36	35	Button	[1212, 1358, 240, 76]	[1332.0, 1396.0]		Go to Inbox|
30	29	Group	[140, 1566, 2400, 34]	[1340.0, 1583.0]		|
23	21	Group	[2470, 726, 60, 150]	[2500.0, 801.0]		|
26	23	Button	[2470, 726, 34, 150]	[2487.0, 801.0]		|
27	26	Image	[2496, 790, 8, 20]	[2500.0, 800.0]		|
24	23	Group	[2504, 40, 8, 1520]	[2508.0, 800.0]		|
25	24	Group	[2508, 782, 2, 38]	[2509.0, 801.0]		|
22	21	Group	[124, 0, 2416, 1600]	[1332.0, 800.0]		|
17	16	Group	[1270, 800, 1270, 800]	[1905.0, 1200.0]		|
9	8	Group	[0, 0, 2540, 2]	[1270.0, 1.0]		|
15	9	Group	[0, 0, 2540, 2]	[1270.0, 1.0]		|
14	9	Group	[0, 0, 2540, 2]	[1270.0, 1.0]		|
13	9	Group	[0, 0, 2540, 2]	[1270.0, 1.0]		|
12	9	Group	[0, 0, 2540, 2]	[1270.0, 1.0]		|
11	9	Group	[0, 0, 2540, 2]	[1270.0, 1.0]		|
10	9	Group	[0, 0, 2540, 2]	[1270.0, 1.0]		|
