id	pid	role	visible_bbox	center	value	description
1	0	Window	[0, 0, 1752, 1540]	[876.0, 770.0]		Studies
15	1	SplitGroup	[0, 104, 1752, 1436]	[876.0, 822.0]		
80	15	Splitter	[0, 104, 2, 1436]	[1.0, 822.0]	0.0	
26	15	ScrollArea	[0, 182, 1752, 1280]	[876.0, 822.0]		
31	26	Grid	[0, 182, 1752, 1358]	[876.0, 861.0]		
45	31	Unknown	[0, 182, 1752, 1100]	[876.0, 732.0]		
79	45	Button	[1664, 214, 68, 54]	[1698.0, 241.0]		
75	45	Group	[32, 218, 244, 46]	[154.0, 241.0]		
78	75	CheckBox	[32, 218, 84, 46]	[74.0, 241.0]	0	
77	75	CheckBox	[116, 218, 80, 46]	[156.0, 241.0]	0	
76	75	CheckBox	[196, 218, 80, 46]	[236.0, 241.0]	0	
71	45	ScrollArea	[42, 298, 820, 874]	[452.0, 735.0]		
72	71	WebArea	[42, 298, 822, 874]	[453.0, 735.0]		|
73	72	TextArea	[60, 306, 786, 858]	[453.0, 735.0]	Each study note contains one or more facets.	|
74	73	StaticText	[172, 310, 562, 32]	[453.0, 326.0]	Each study note contains one or more facets.	|
67	45	Group	[58, 1186, 196, 38]	[156.0, 1205.0]		
70	67	CheckBox	[58, 1186, 68, 38]	[92.0, 1205.0]	0	
69	67	CheckBox	[126, 1186, 64, 38]	[158.0, 1205.0]	0	
68	67	CheckBox	[190, 1186, 64, 38]	[222.0, 1205.0]	0	
65	45	Group	[266, 1186, 50, 38]	[291.0, 1205.0]		
66	65	Button	[266, 1186, 50, 38]	[291.0, 1205.0]		
62	45	Group	[328, 1186, 132, 38]	[394.0, 1205.0]		
64	62	Button	[328, 1186, 68, 38]	[362.0, 1205.0]		
63	62	Button	[396, 1186, 64, 38]	[428.0, 1205.0]		
61	45	Button	[812, 1188, 40, 30]	[832.0, 1203.0]		
60	45	Button	[908, 1014, 30, 30]	[923.0, 1029.0]		
59	45	Button	[978, 1020, 26, 18]	[991.0, 1029.0]		
