id	pid	role	visible_bbox	center	value	description
1	0	Window	[0, 0, 1560, 948]	[780.0, 474.0]		Swish
5	1	SplitGroup	[0, 0, 1560, 948]	[780.0, 474.0]		
39	5	ScrollArea	[0, 104, 300, 844]	[150.0, 526.0]		
40	39	Table	[0, 104, 300, 844]	[150.0, 526.0]		
66	40	Row	[0, 104, 300, 72]	[150.0, 140.0]		
67	66	Cell	[32, 104, 236, 72]	[150.0, 140.0]		
69	67	Image	[42, 122, 34, 34]	[59.0, 139.0]		|General
68	67	StaticText	[92, 122, 180, 36]	[182.0, 140.0]	General	
62	40	Row	[0, 176, 300, 72]	[150.0, 212.0]		
63	62	Cell	[32, 176, 236, 72]	[150.0, 212.0]		
65	63	Image	[40, 196, 42, 32]	[61.0, 212.0]		|Windows
64	63	StaticText	[92, 194, 180, 36]	[182.0, 212.0]	Windows	
58	40	Row	[0, 248, 300, 72]	[150.0, 284.0]		
59	58	Cell	[32, 248, 236, 72]	[150.0, 284.0]		
61	59	Image	[40, 268, 40, 30]	[60.0, 283.0]		|Snapping
60	59	StaticText	[92, 266, 180, 36]	[182.0, 284.0]	Snapping	
54	40	Row	[0, 320, 300, 72]	[150.0, 356.0]		
55	54	Cell	[32, 320, 236, 72]	[150.0, 356.0]		
57	55	Image	[40, 340, 40, 30]	[60.0, 355.0]		|Apps
56	55	StaticText	[92, 338, 180, 36]	[182.0, 356.0]	Apps	
50	40	Row	[0, 392, 300, 72]	[150.0, 428.0]		
51	50	Cell	[32, 392, 236, 72]	[150.0, 428.0]		
53	51	Image	[40, 412, 40, 30]	[60.0, 427.0]		|Menubar
52	51	StaticText	[92, 410, 180, 36]	[182.0, 428.0]	Menubar	
46	40	Row	[0, 464, 300, 72]	[150.0, 500.0]		
47	46	Cell	[32, 464, 236, 72]	[150.0, 500.0]		
49	47	Image	[38, 482, 42, 34]	[59.0, 499.0]		|Advanced
48	47	StaticText	[92, 482, 180, 36]	[182.0, 500.0]	Advanced	
42	40	Row	[0, 536, 300, 72]	[150.0, 572.0]		
43	42	Cell	[32, 536, 236, 72]	[150.0, 572.0]		
45	43	Image	[44, 556, 32, 32]	[60.0, 572.0]		|About
44	43	StaticText	[92, 554, 180, 36]	[182.0, 572.0]	About	
41	40	Column	[20, 104, 260, 844]	[150.0, 526.0]		
38	5	Splitter	[300, 104, 2, 844]	[301.0, 526.0]	150.0	
6	5	ScrollArea	[302, 104, 1258, 844]	[931.0, 526.0]		
37	6	Image	[326, 128, 542, 72]	[597.0, 164.0]		|SwishLogo
36	6	Image	[326, 220, 22, 24]	[337.0, 232.0]		|MenuC
35	6	StaticText	[360, 216, 246, 34]	[483.0, 233.0]	Christian Renninger	
34	6	Image	[326, 262, 22, 24]	[337.0, 274.0]		|MenuGlobe
33	6	StaticText	[360, 258, 336, 34]	[528.0, 275.0]	highlyopinionated.co/swish	
32	6	Image	[326, 304, 22, 24]	[337.0, 316.0]		|MenuBall
31	6	StaticText	[360, 300, 130, 34]	[425.0, 317.0]	0 Swishes	
30	6	StaticText	[322, 400, 186, 34]	[415.0, 417.0]	Version 1.10.3	
29	6	Button	[522, 390, 282, 64]	[663.0, 422.0]		Open in Setapp
28	6	StaticText	[322, 506, 398, 34]	[521.0, 523.0]	All libraries under MIT License	
27	6	DisclosureTriangle	[726, 512, 38, 32]	[745.0, 528.0]	1	
26	6	StaticText	[322, 572, 114, 34]	[379.0, 589.0]	AXSwift	
25	6	StaticText	[322, 610, 184, 32]	[414.0, 626.0]	© Tyler Mandry	
24	6	StaticText	[322, 666, 260, 34]	[452.0, 683.0]	KeyboardShortcuts	
23	6	StaticText	[322, 704, 194, 32]	[419.0, 720.0]	© Sindre Sorhus	
22	6	StaticText	[322, 760, 150, 34]	[397.0, 777.0]	PromiseKit	
21	6	StaticText	[322, 798, 166, 32]	[405.0, 814.0]	© Max Howell	
20	6	StaticText	[638, 572, 116, 34]	[696.0, 589.0]	Defaults	
19	6	StaticText	[638, 610, 194, 32]	[735.0, 626.0]	© Sindre Sorhus	
18	6	StaticText	[638, 666, 174, 34]	[725.0, 683.0]	LoginItemKit	
17	6	StaticText	[638, 704, 258, 32]	[767.0, 720.0]	© Christian Renninger	
16	6	StaticText	[638, 760, 102, 34]	[689.0, 777.0]	Signals	
15	6	StaticText	[638, 798, 214, 32]	[745.0, 814.0]	© Tuomas Artman	
14	6	StaticText	[952, 572, 130, 34]	[1017.0, 589.0]	ISO-4217	
13	6	StaticText	[952, 610, 246, 32]	[1075.0, 626.0]	© Sergey Galezdinov	
12	6	StaticText	[952, 666, 110, 34]	[1007.0, 683.0]	PListKit	
11	6	StaticText	[952, 704, 222, 32]	[1063.0, 720.0]	© Steffan Andrews	
10	6	StaticText	[952, 760, 106, 34]	[1005.0, 777.0]	Sparkle	
9	6	StaticText	[952, 798, 224, 32]	[1064.0, 814.0]	© Andy Matuschak	
8	6	ScrollBar	[302, 916, 1258, 32]	[931.0, 932.0]	0.0	
7	6	ScrollBar	[1528, 104, 32, 844]	[1544.0, 526.0]	0.0	
3	1	Toolbar	[0, 0, 1560, 104]	[780.0, 52.0]		
4	3	Button	[1448, 0, 96, 104]	[1496.0, 52.0]		|Quit
2	1	StaticText	[318, 0, 1130, 104]	[883.0, 52.0]	Swish	
