id	pid	role	visible_bbox	center	value	description
1	0	Window	[0, 0, 1206, 1000]	[603.0, 500.0]		Untitled
4	1	SplitGroup	[0, 0, 1206, 1000]	[603.0, 500.0]		
9	4	ScrollArea	[0, 56, 300, 944]	[150.0, 528.0]		
10	9	Outline	[0, 56, 300, 944]	[150.0, 528.0]		
51	10	Row	[0, 56, 300, 40]	[150.0, 76.0]		
52	51	Cell	[20, 56, 260, 40]	[150.0, 76.0]		
53	52	StaticText	[28, 58, 244, 34]	[150.0, 75.0]	Home	
48	10	Row	[0, 122, 300, 40]	[150.0, 142.0]		
49	48	Cell	[20, 122, 260, 40]	[150.0, 142.0]		
50	49	StaticText	[26, 128, 248, 28]	[150.0, 142.0]	Projects	
45	10	Row	[0, 162, 300, 40]	[150.0, 182.0]		
46	45	Cell	[20, 162, 260, 40]	[150.0, 182.0]		
47	46	StaticText	[54, 164, 218, 34]	[163.0, 181.0]	Welcome	
42	10	Row	[0, 202, 300, 40]	[150.0, 222.0]		
43	42	Cell	[20, 202, 260, 40]	[150.0, 222.0]		
44	43	StaticText	[54, 204, 218, 34]	[163.0, 221.0]	To Create Items	
39	10	Row	[0, 242, 300, 40]	[150.0, 262.0]		
40	39	Cell	[20, 242, 260, 40]	[150.0, 262.0]		
41	40	StaticText	[54, 244, 218, 34]	[163.0, 261.0]	To Organize Items	
36	10	Row	[0, 282, 300, 40]	[150.0, 302.0]		
37	36	Cell	[20, 282, 260, 40]	[150.0, 302.0]		
38	37	StaticText	[54, 284, 218, 34]	[163.0, 301.0]	To Fold, Focus, and Filter Items	
33	10	Row	[0, 348, 300, 40]	[150.0, 368.0]		
34	33	Cell	[20, 348, 260, 40]	[150.0, 368.0]		
35	34	StaticText	[26, 354, 248, 28]	[150.0, 368.0]	Searches	
30	10	Row	[0, 388, 300, 40]	[150.0, 408.0]		
31	30	Cell	[20, 388, 260, 40]	[150.0, 408.0]		
32	31	StaticText	[54, 390, 218, 34]	[163.0, 407.0]	Today	
27	10	Row	[0, 428, 300, 40]	[150.0, 448.0]		
28	27	Cell	[20, 428, 260, 40]	[150.0, 448.0]		
29	28	StaticText	[54, 430, 218, 34]	[163.0, 447.0]	Not Done	
24	10	Row	[0, 494, 300, 40]	[150.0, 514.0]		
25	24	Cell	[20, 494, 260, 40]	[150.0, 514.0]		
26	25	StaticText	[26, 500, 248, 28]	[150.0, 514.0]	Tags	
21	10	Row	[0, 534, 300, 40]	[150.0, 554.0]		
22	21	Cell	[20, 534, 260, 40]	[150.0, 554.0]		
23	22	StaticText	[54, 536, 218, 34]	[163.0, 553.0]	@done	
18	10	Row	[0, 574, 300, 40]	[150.0, 594.0]		
19	18	Cell	[20, 574, 260, 40]	[150.0, 594.0]		
20	19	StaticText	[54, 576, 218, 34]	[163.0, 593.0]	@due	
15	10	Row	[0, 614, 300, 40]	[150.0, 634.0]		
16	15	Cell	[20, 614, 260, 40]	[150.0, 634.0]		
17	16	StaticText	[54, 616, 218, 34]	[163.0, 633.0]	@start	
12	10	Row	[0, 654, 300, 40]	[150.0, 674.0]		
13	12	Cell	[20, 654, 260, 40]	[150.0, 674.0]		
14	13	StaticText	[54, 656, 218, 34]	[163.0, 673.0]	@today	
11	10	Column	[20, 56, 260, 944]	[150.0, 528.0]		
8	4	Splitter	[300, 56, 2, 944]	[301.0, 528.0]	150.0	
5	4	ScrollArea	[302, 56, 904, 944]	[754.0, 528.0]		
7	5	TextArea	[302, 56, 904, 944]	[754.0, 528.0]	"Welcome:
- TaskPaper knows about projects, tasks, notes, and tags.
- It auto-formats these items so that your lists are easier to read.
- Delete this text when you are ready to start your own lists.
To Create Items:
- To create a task, type a dash followed by a space.
- To create a project, type a line ending with a colon.
- To create a tag, type '@' followed by the tag’s name.
To Organize Items:
- To indent items press the Tab key.
- To un-indent items press Shift-Tab.
- To mark a task done click leading dash.
To Fold, Focus, and Filter Items:
- To fold/unfold an item click the dot to the left of the item.
- To focus on a single project select it in the sidebar.
- To filter your list enter a search in the toolbar search field.

"	
6	5	ScrollBar	[1174, 56, 32, 944]	[1190.0, 528.0]	0.0	
3	1	MenuButton	[808, 10, 20, 32]	[818.0, 26.0]		|document actions
2	1	StaticText	[696, 10, 112, 32]	[752.0, 26.0]	Untitled	
