id	pid	role	visible_bbox	center	value	description
1	0	Window	[0, 0, 2188, 1104]	[1094.0, 552.0]		Timemator
4	1	SplitGroup	[0, 0, 2188, 1104]	[1094.0, 552.0]		
95	4	ScrollArea	[0, 104, 344, 856]	[172.0, 532.0]		
96	95	Outline	[0, 104, 344, 856]	[172.0, 532.0]		
106	96	Row	[0, 104, 344, 72]	[172.0, 140.0]		
107	106	Cell	[20, 104, 304, 72]	[172.0, 140.0]		
109	107	StaticText	[90, 120, 222, 38]	[201.0, 139.0]	Tracking	
108	107	Image	[38, 120, 40, 40]	[58.0, 140.0]		|sidebar tracking
102	96	Row	[0, 176, 344, 72]	[172.0, 212.0]		
103	102	Cell	[20, 176, 304, 72]	[172.0, 212.0]		
105	103	StaticText	[90, 192, 222, 38]	[201.0, 211.0]	Timeline	
104	103	Image	[38, 192, 40, 40]	[58.0, 212.0]		|sidebar timeline
98	96	Row	[0, 248, 344, 72]	[172.0, 284.0]		
99	98	Cell	[20, 248, 304, 72]	[172.0, 284.0]		
101	99	StaticText	[90, 264, 222, 38]	[201.0, 283.0]	Reports	
100	99	Image	[38, 264, 40, 40]	[58.0, 284.0]		|sidebar reports
97	96	Column	[20, 104, 304, 856]	[172.0, 532.0]		
94	4	StaticText	[114, 1006, 198, 38]	[213.0, 1025.0]	00:00:13	
93	4	StaticText	[114, 1044, 198, 30]	[213.0, 1059.0]	First Task	
92	4	Splitter	[344, 104, 2, 1000]	[345.0, 604.0]	172.0	
5	4	SplitGroup	[346, 0, 1842, 1104]	[1267.0, 552.0]		
42	5	SplitGroup	[346, 228, 1420, 876]	[1056.0, 666.0]		
91	42	List	[370, 228, 1372, 490]	[1056.0, 473.0]		|Chart View
90	42	Splitter	[346, 742, 1420, 2]	[1056.0, 743.0]	257.5	
43	42	ScrollArea	[346, 744, 1420, 358]	[1056.0, 923.0]		
44	43	Outline	[346, 744, 1420, 358]	[1056.0, 923.0]		
64	44	Row	[346, 744, 1420, 136]	[1056.0, 812.0]		
85	64	Cell	[346, 744, 1420, 136]	[1056.0, 812.0]		
89	85	StaticText	[1466, 808, 268, 48]	[1600.0, 832.0]	0:00	
88	85	StaticText	[1350, 808, 112, 48]	[1406.0, 832.0]	$0.00	
87	85	StaticText	[382, 808, 368, 48]	[566.0, 832.0]	Tuesday, February 6	
86	85	Button	[762, 810, 46, 46]	[785.0, 833.0]		
80	64	Cell	[346, 744, 1420, 136]	[1056.0, 812.0]		
84	80	StaticText	[1466, 808, 268, 48]	[1600.0, 832.0]	0:00	
83	80	StaticText	[1350, 808, 112, 48]	[1406.0, 832.0]	$0.00	
82	80	StaticText	[382, 808, 368, 48]	[566.0, 832.0]	Tuesday, February 6	
81	80	Button	[762, 810, 46, 46]	[785.0, 833.0]		
75	64	Cell	[346, 744, 1420, 136]	[1056.0, 812.0]		
79	75	StaticText	[1466, 808, 268, 48]	[1600.0, 832.0]	0:00	
78	75	StaticText	[1350, 808, 112, 48]	[1406.0, 832.0]	$0.00	
77	75	StaticText	[382, 808, 368, 48]	[566.0, 832.0]	Tuesday, February 6	
76	75	Button	[762, 810, 46, 46]	[785.0, 833.0]		
70	64	Cell	[346, 744, 1420, 136]	[1056.0, 812.0]		
74	70	StaticText	[1466, 808, 268, 48]	[1600.0, 832.0]	0:00	
73	70	StaticText	[1350, 808, 112, 48]	[1406.0, 832.0]	$0.00	
72	70	StaticText	[382, 808, 368, 48]	[566.0, 832.0]	Tuesday, February 6	
71	70	Button	[762, 810, 46, 46]	[785.0, 833.0]		
65	64	Cell	[346, 744, 1420, 136]	[1056.0, 812.0]		
69	65	StaticText	[1466, 808, 268, 48]	[1600.0, 832.0]	0:00	
68	65	StaticText	[1350, 808, 112, 48]	[1406.0, 832.0]	$0.00	
67	65	StaticText	[382, 808, 368, 48]	[566.0, 832.0]	Tuesday, February 6	
66	65	Button	[762, 810, 46, 46]	[785.0, 833.0]		
50	44	Row	[346, 880, 1420, 114]	[1056.0, 937.0]		
61	50	Cell	[346, 880, 200, 114]	[446.0, 937.0]		
63	61	StaticText	[362, 944, 148, 28]	[436.0, 958.0]	19:13	
62	61	StaticText	[362, 904, 148, 28]	[436.0, 918.0]	19:13	
58	50	Cell	[546, 880, 374, 114]	[733.0, 937.0]		
60	58	StaticText	[590, 902, 324, 26]	[752.0, 915.0]		
59	58	StaticText	[590, 918, 322, 38]	[751.0, 937.0]	First Task	
56	50	Cell	[920, 880, 246, 114]	[1043.0, 937.0]		
57	56	Button	[920, 914, 48, 48]	[944.0, 938.0]		
55	50	Cell	[1166, 880, 300, 114]	[1316.0, 937.0]		
51	50	Cell	[1466, 880, 300, 114]	[1616.0, 937.0]		
54	51	StaticText	[1684, 918, 46, 38]	[1707.0, 937.0]	13	
53	51	StaticText	[1656, 918, 74, 38]	[1693.0, 937.0]	0:00	
52	51	StaticText	[1674, 916, 16, 38]	[1682.0, 935.0]	:	
49	44	Column	[346, 744, 200, 358]	[446.0, 923.0]		
48	44	Column	[546, 744, 374, 358]	[733.0, 923.0]		
47	44	Column	[920, 744, 246, 358]	[1043.0, 923.0]		
46	44	Column	[1166, 744, 300, 358]	[1316.0, 923.0]		
45	44	Column	[1466, 744, 300, 358]	[1616.0, 923.0]		
41	5	Splitter	[1766, 104, 2, 1000]	[1767.0, 604.0]	710.0	
40	5	StaticText	[2048, 996, 114, 24]	[2105.0, 1008.0]	SUMMARY	
39	5	StaticText	[2066, 1028, 98, 52]	[2115.0, 1054.0]	0:00	
38	5	StaticText	[1910, 1028, 120, 52]	[1970.0, 1054.0]	$0.00	
6	5	ScrollArea	[1768, 104, 420, 858]	[1978.0, 533.0]		
7	6	Outline	[1768, 104, 420, 858]	[1978.0, 533.0]		
35	7	Row	[1768, 124, 420, 44]	[1978.0, 146.0]		
36	35	Cell	[1788, 124, 380, 44]	[1978.0, 146.0]		
37	36	StaticText	[1790, 132, 370, 28]	[1975.0, 146.0]	TASKS	
31	7	Row	[1768, 168, 420, 56]	[1978.0, 196.0]		
32	31	Cell	[1788, 168, 380, 56]	[1978.0, 196.0]		
34	32	StaticText	[1844, 180, 216, 32]	[1952.0, 196.0]	First Task	
33	32	StaticText	[2098, 180, 60, 30]	[2128.0, 195.0]	0:00	
28	7	Row	[1768, 264, 420, 44]	[1978.0, 286.0]		
29	28	Cell	[1788, 264, 380, 44]	[1978.0, 286.0]		
30	29	StaticText	[1790, 272, 370, 28]	[1975.0, 286.0]	BILLING	
23	7	Row	[1768, 308, 420, 56]	[1978.0, 336.0]		
24	23	Cell	[1788, 308, 380, 56]	[1978.0, 336.0]		
27	24	Image	[1824, 320, 32, 32]	[1840.0, 336.0]		|
26	24	StaticText	[1868, 320, 192, 32]	[1964.0, 336.0]	Paid	
25	24	StaticText	[2098, 320, 60, 30]	[2128.0, 335.0]	0:00	
18	7	Row	[1768, 364, 420, 56]	[1978.0, 392.0]		
19	18	Cell	[1788, 364, 380, 56]	[1978.0, 392.0]		
22	19	Image	[1824, 376, 32, 32]	[1840.0, 392.0]		|
21	19	StaticText	[1868, 376, 192, 32]	[1964.0, 392.0]	Billed	
20	19	StaticText	[2098, 376, 60, 30]	[2128.0, 391.0]	0:00	
13	7	Row	[1768, 420, 420, 56]	[1978.0, 448.0]		
14	13	Cell	[1788, 420, 380, 56]	[1978.0, 448.0]		
17	14	Image	[1824, 432, 32, 32]	[1840.0, 448.0]		|
16	14	StaticText	[1868, 432, 192, 32]	[1964.0, 448.0]	Unbilled	
15	14	StaticText	[2098, 432, 60, 30]	[2128.0, 447.0]	0:00	
9	7	Row	[1768, 476, 420, 56]	[1978.0, 504.0]		
10	9	Cell	[1788, 476, 380, 56]	[1978.0, 504.0]		
12	10	StaticText	[1868, 488, 192, 32]	[1964.0, 504.0]	Non-billable	
11	10	StaticText	[2098, 488, 60, 30]	[2128.0, 503.0]	0:00	
8	7	Column	[1788, 104, 380, 858]	[1978.0, 533.0]		
2	1	Toolbar	[0, 0, 2188, 104]	[1094.0, 52.0]		
3	2	Button	[1676, 0, 74, 104]	[1713.0, 52.0]		|Export
