id	pid	role	visible_bbox	center	value	description
1	0	Window	[0, 0, 3000, 1600]	[1500.0, 800.0]		TouchRetouch - 547875140019.jpg
25	1	Button	[1190, 140, 140, 96]	[1260.0, 188.0]		
24	1	Button	[1048, 140, 140, 96]	[1118.0, 188.0]		
23	1	Button	[1726, 140, 84, 96]	[1768.0, 188.0]		
22	1	Button	[1642, 140, 84, 96]	[1684.0, 188.0]		
21	1	StaticText	[1408, 172, 218, 32]	[1517.0, 188.0]	Line thickness	
20	1	Button	[1810, 140, 84, 96]	[1852.0, 188.0]		
19	1	Button	[0, 44, 140, 96]	[70.0, 92.0]		Open
18	1	Button	[2720, 44, 140, 96]	[2790.0, 92.0]		History
17	1	Button	[2580, 44, 140, 96]	[2650.0, 92.0]		Redo
16	1	Button	[2440, 44, 140, 96]	[2510.0, 92.0]		Undo
15	1	Button	[2300, 44, 140, 96]	[2370.0, 92.0]		Compare
14	1	Button	[1358, 44, 140, 96]	[1428.0, 92.0]		Quick Repair
13	1	Button	[1216, 44, 140, 96]	[1286.0, 92.0]		Object Removal_short
12	1	Button	[1500, 44, 140, 96]	[1570.0, 92.0]		Line Removal_short
11	1	Button	[1642, 44, 140, 96]	[1712.0, 92.0]		Clone Stamp
10	1	Button	[2860, 44, 140, 96]	[2930.0, 92.0]		Export
9	1	Button	[844, 74, 50, 36]	[869.0, 92.0]		
7	1	Slider	[528, 68, 300, 56]	[678.0, 96.0]	64.0	
8	7	ValueIndicator	[602, 74, 38, 38]	[621.0, 93.0]	64.0	
6	1	StaticText	[640, 106, 74, 22]	[677.0, 117.0]	64%	
5	1	Button	[462, 74, 50, 36]	[487.0, 92.0]		
4	1	Button	[1900, 44, 140, 96]	[1970.0, 92.0]		Tone & Color
3	1	Button	[2040, 44, 140, 96]	[2110.0, 92.0]		Crop
2	1	StaticText	[1268, 10, 464, 32]	[1500.0, 26.0]	TouchRetouch - 547875140019.jpg	
