id	pid	role	visible_bbox	center	value	description
1	0	Window	[0, 0, 1440, 1500]	[720.0, 750.0]		Typeface
118	1	Button	[108, 1436, 62, 54]	[139.0, 1463.0]		
21	1	ScrollArea	[0, 76, 280, 1350]	[140.0, 751.0]		
22	21	Outline	[0, 76, 280, 1350]	[140.0, 751.0]		
113	22	Row	[0, 96, 280, 56]	[140.0, 124.0]		
114	113	Cell	[20, 96, 240, 56]	[140.0, 124.0]		
117	114	Image	[32, 108, 30, 30]	[47.0, 123.0]		|
116	114	StaticText	[72, 108, 38, 32]	[91.0, 124.0]	All	
115	114	StaticText	[186, 112, 66, 28]	[219.0, 126.0]	1051	
108	22	Row	[0, 152, 280, 56]	[140.0, 180.0]		
109	108	Cell	[20, 152, 240, 56]	[140.0, 180.0]		
112	109	Image	[32, 164, 30, 30]	[47.0, 179.0]		|userTemplate
111	109	StaticText	[72, 164, 64, 32]	[104.0, 180.0]	User	
110	109	StaticText	[244, 168, 8, 28]	[248.0, 182.0]	0	
103	22	Row	[0, 208, 280, 56]	[140.0, 236.0]		
104	103	Cell	[20, 208, 240, 56]	[140.0, 236.0]		
107	104	Image	[32, 222, 30, 28]	[47.0, 236.0]		|imacTemplate
106	104	StaticText	[72, 220, 98, 32]	[121.0, 236.0]	System	
105	104	StaticText	[244, 224, 8, 28]	[248.0, 238.0]	?	
98	22	Row	[0, 264, 280, 56]	[140.0, 292.0]		
99	98	Cell	[20, 264, 240, 56]	[140.0, 292.0]		
102	99	Image	[32, 276, 30, 30]	[47.0, 291.0]		|recentTemplate
101	99	StaticText	[72, 276, 146, 32]	[145.0, 292.0]	Last Import	
100	99	StaticText	[244, 280, 8, 28]	[248.0, 294.0]	?	
93	22	Row	[0, 320, 280, 56]	[140.0, 348.0]		
94	93	Cell	[20, 320, 240, 56]	[140.0, 348.0]		
97	94	Image	[32, 332, 30, 30]	[47.0, 347.0]		|activatedTemplate
96	94	StaticText	[72, 332, 122, 32]	[133.0, 348.0]	Activated	
95	94	StaticText	[244, 336, 8, 28]	[248.0, 350.0]	?	
88	22	Row	[0, 376, 280, 56]	[140.0, 404.0]		
89	88	Cell	[20, 376, 240, 56]	[140.0, 404.0]		
92	89	Image	[32, 388, 30, 30]	[47.0, 403.0]		|untaggedTemplate
91	89	StaticText	[72, 388, 128, 32]	[136.0, 404.0]	Untagged	
90	89	StaticText	[244, 392, 8, 28]	[248.0, 406.0]	?	
85	22	Row	[0, 432, 280, 64]	[140.0, 464.0]		
86	85	Cell	[20, 432, 240, 64]	[140.0, 464.0]		
87	86	Button	[116, 438, 46, 54]	[139.0, 465.0]		
80	22	Row	[0, 496, 280, 56]	[140.0, 524.0]		
81	80	Cell	[20, 496, 240, 56]	[140.0, 524.0]		
84	81	Image	[32, 508, 30, 30]	[47.0, 523.0]		|fontBookTemplate
83	81	StaticText	[72, 508, 130, 32]	[137.0, 524.0]	Font Book	
82	81	StaticText	[244, 512, 8, 28]	[248.0, 526.0]	?	
77	22	Row	[0, 552, 280, 64]	[140.0, 584.0]		
78	77	Cell	[20, 552, 240, 64]	[140.0, 584.0]		
79	78	Button	[116, 558, 46, 54]	[139.0, 585.0]		
73	22	Row	[0, 616, 280, 56]	[140.0, 644.0]		
74	73	Cell	[20, 616, 240, 56]	[140.0, 644.0]		
76	74	StaticText	[34, 628, 152, 32]	[110.0, 644.0]	Fixed Width	
