id	pid	role	visible_bbox	center	value	description
1	0	Window	[0, 0, 2048, 1536]	[1024.0, 768.0]		Visual Studio Code
3	1	Group	[0, 0, 2048, 1536]	[1024.0, 768.0]		|
4	3	Group	[0, 0, 2048, 1536]	[1024.0, 768.0]		|
5	4	Group	[0, 0, 2048, 1536]	[1024.0, 768.0]		|
6	5	Group	[0, 0, 2048, 1536]	[1024.0, 768.0]		|
7	6	WebArea	[0, 0, 2048, 1536]	[1024.0, 768.0]		Visual Studio Code|
8	7	Group	[0, 0, 2048, 1536]	[1024.0, 768.0]		|
9	8	Group	[0, 0, 2048, 1536]	[1024.0, 768.0]		|
10	9	Group	[0, 0, 2048, 1536]	[1024.0, 768.0]		|
11	10	Group	[0, 0, 2048, 1536]	[1024.0, 768.0]		|
205	11	Group	[0, 0, 2048, 1536]	[1024.0, 768.0]		|
208	205	Group	[0, 66, 2048, 8]	[1024.0, 70.0]		|
207	205	Group	[0, 66, 2048, 8]	[1024.0, 70.0]		|
206	205	Group	[0, 1488, 2048, 8]	[1024.0, 1492.0]		|
12	11	Group	[0, 0, 2048, 1536]	[1024.0, 768.0]		|
177	12	Group	[0, 0, 2048, 70]	[1024.0, 35.0]		|
178	177	Group	[0, 0, 2048, 70]	[1024.0, 35.0]		|
204	178	Group	[0, 0, 2048, 70]	[1024.0, 35.0]		|
193	178	Group	[574, 12, 900, 48]	[1024.0, 36.0]		|
194	193	Toolbar	[574, 12, 900, 48]	[1024.0, 36.0]		|
201	194	Button	[574, 14, 46, 44]	[597.0, 36.0]		|Go Back (⌃-)
202	201	Group	[580, 20, 34, 32]	[597.0, 36.0]		|
203	202	StaticText	[580, 20, 34, 32]	[597.0, 36.0]		|
198	194	Button	[626, 14, 46, 44]	[649.0, 36.0]		|Go Forward (⌃⇧-)
199	198	Group	[632, 20, 34, 32]	[649.0, 36.0]		|
200	199	StaticText	[632, 20, 34, 32]	[649.0, 36.0]		|
196	194	Group	[1026, 22, 30, 28]	[1041.0, 36.0]		|
197	196	StaticText	[1026, 22, 30, 28]	[1041.0, 36.0]		|
195	194	StaticText	[1064, 22, 80, 28]	[1104.0, 36.0]	Search	|
179	178	Group	[1828, 0, 206, 70]	[1931.0, 35.0]		|
180	179	Toolbar	[1828, 0, 202, 70]	[1929.0, 35.0]		|
190	180	CheckBox	[1828, 14, 46, 44]	[1851.0, 36.0]		|Toggle Primary Side Bar (⌘B)
191	190	Group	[1834, 20, 34, 32]	[1851.0, 36.0]		|
192	191	StaticText	[1834, 20, 34, 32]	[1851.0, 36.0]		|
187	180	CheckBox	[1880, 14, 46, 44]	[1903.0, 36.0]		|Toggle Panel (⌘J)
188	187	Group	[1886, 20, 34, 32]	[1903.0, 36.0]		|
189	188	StaticText	[1886, 20, 34, 32]	[1903.0, 36.0]		|
184	180	CheckBox	[1932, 14, 46, 44]	[1955.0, 36.0]		|Toggle Secondary Side Bar (⌥⌘B)
185	184	Group	[1938, 20, 34, 32]	[1955.0, 36.0]		|
186	185	StaticText	[1938, 20, 34, 32]	[1955.0, 36.0]		|
181	180	Button	[1984, 14, 46, 44]	[2007.0, 36.0]		|Customize Layout...
182	181	Group	[1990, 20, 34, 32]	[2007.0, 36.0]		|
183	182	StaticText	[1990, 20, 34, 32]	[2007.0, 36.0]		|
31	12	Group	[0, 70, 2048, 1422]	[1024.0, 781.0]		|
32	31	Group	[0, 70, 2048, 1422]	[1024.0, 781.0]		|
173	32	Group	[0, 70, 2048, 1422]	[1024.0, 781.0]		|
176	173	Group	[92, 70, 8, 1422]	[96.0, 781.0]		|
175	173	Group	[632, 70, 8, 1422]	[636.0, 781.0]		|
174	173	Group	[2044, 70, 4, 1422]	[2046.0, 781.0]		|
33	32	Group	[0, 70, 2048, 1422]	[1024.0, 781.0]		|
130	33	Group	[0, 70, 96, 1422]	[48.0, 781.0]		|
146	130	Group	[0, 70, 96, 480]	[48.0, 310.0]		|
147	146	TabGroup	[0, 70, 96, 480]	[48.0, 310.0]		|Active View Switcher
168	147	RadioButton	[0, 70, 96, 96]	[48.0, 118.0]	0	Explorer (⇧⌘E)|
170	168	Group	[0, 70, 96, 96]	[48.0, 118.0]		|Explorer (⇧⌘E)
171	170	Group	[24, 94, 48, 48]	[48.0, 118.0]		|
172	171	StaticText	[24, 94, 48, 48]	[48.0, 118.0]		|
169	168	Group	[0, 70, 96, 96]	[48.0, 118.0]		|
163	147	RadioButton	[0, 166, 96, 96]	[48.0, 214.0]	1	Search (⇧⌘F)|
165	163	Group	[0, 166, 96, 96]	[48.0, 214.0]		|Search (⇧⌘F)
166	165	Group	[24, 190, 48, 48]	[48.0, 214.0]		|
167	166	StaticText	[24, 190, 48, 48]	[48.0, 214.0]		|
164	163	Group	[0, 166, 96, 96]	[48.0, 214.0]		|
158	147	RadioButton	[0, 262, 96, 96]	[48.0, 310.0]	0	Source Control (⌃⇧G)|
160	158	Group	[0, 262, 96, 96]	[48.0, 310.0]		|Source Control (⌃⇧G)
161	160	Group	[24, 286, 48, 48]	[48.0, 310.0]		|
162	161	StaticText	[24, 286, 48, 48]	[48.0, 310.0]		|
159	158	Group	[0, 262, 96, 96]	[48.0, 310.0]		|
153	147	RadioButton	[0, 358, 96, 96]	[48.0, 406.0]	0	Run and Debug (⇧⌘D)|
155	153	Group	[0, 358, 96, 96]	[48.0, 406.0]		|Run and Debug (⇧⌘D)
156	155	Group	[24, 382, 48, 48]	[48.0, 406.0]		|
157	156	StaticText	[24, 382, 48, 48]	[48.0, 406.0]		|
154	153	Group	[0, 358, 96, 96]	[48.0, 406.0]		|
