id	pid	role	visible_bbox	center	value	description
1	0	Window	[0, 0, 3024, 1740]	[1512.0, 870.0]		
8	1	Group	[0, 0, 3024, 1740]	[1512.0, 870.0]		
9	8	Group	[0, 0, 3024, 1740]	[1512.0, 870.0]		
175	9	Group	[0, 0, 400, 1740]	[200.0, 870.0]		
176	175	Group	[0, 0, 400, 1740]	[200.0, 870.0]		
177	176	Group	[0, 0, 400, 1740]	[200.0, 870.0]		
178	177	Group	[0, 0, 400, 1740]	[200.0, 870.0]		|Location List
191	178	Group	[32, 120, 336, 120]	[200.0, 180.0]		
192	191	Button	[32, 120, 336, 120]	[200.0, 180.0]		|My Location, Prague 7, 9°, Windy, High: 10°, Low: 7°
189	178	Group	[32, 240, 336, 120]	[200.0, 300.0]		
190	189	Button	[32, 240, 336, 120]	[200.0, 300.0]		|Київ, 00:00, 3°, Cloudy, High: 7°, Low: 2°
187	178	Group	[32, 360, 336, 120]	[200.0, 420.0]		
188	187	Button	[32, 360, 336, 120]	[200.0, 420.0]		|Одеса, 00:00, 5°, Warmer on Tuesday, with a high of 13°, High: 11°, Low: 5°
185	178	Group	[32, 480, 336, 120]	[200.0, 540.0]		
186	185	Button	[32, 480, 336, 120]	[200.0, 540.0]		|Донецьк, 00:00, 2°, Cloudy, High: 6°, Low: 1°
183	178	Group	[32, 600, 336, 120]	[200.0, 660.0]		
184	183	Button	[32, 600, 336, 120]	[200.0, 660.0]		|Львів, 00:00, 5°, Windy, High: 7°, Low: 5°
181	178	Group	[32, 720, 336, 120]	[200.0, 780.0]		
182	181	Button	[32, 720, 336, 120]	[200.0, 780.0]		|Edinburgh, 22:00, 10°, Light rain for the next hour, High: 10°, Low: 6°
179	178	Group	[32, 840, 336, 120]	[200.0, 900.0]		
180	179	Button	[32, 840, 336, 120]	[200.0, 900.0]		|Prague, 23:00, 9°, Windy, High: 10°, Low: 7°
10	9	Group	[400, 0, 2622, 1740]	[1711.0, 870.0]		
11	10	Group	[400, 0, 2622, 1740]	[1711.0, 870.0]		
12	11	Group	[400, 0, 2622, 1740]	[1711.0, 870.0]		
96	12	Group	[412, 144, 1328, 1596]	[1076.0, 942.0]		
97	96	Group	[412, 144, 1328, 1596]	[1076.0, 942.0]		
174	97	GenericElement	[452, 144, 1248, 398]	[1076.0, 343.0]		|My Location, PRAGUE 7, 9°, Feels like 5°, Windy, High 10°, Low 7°
142	97	Group	[422, 542, 1308, 288]	[1076.0, 686.0]		
143	142	Group	[452, 542, 1248, 288]	[1076.0, 686.0]		|
173	143	Image	[478, 566, 20, 20]	[488.0, 576.0]		|CLOCK
172	143	StaticText	[512, 564, 198, 26]	[611.0, 577.0]		|HOURLY FORECAST
171	143	StaticText	[472, 564, 612, 28]	[778.0, 578.0]		|Windy conditions tonight, continuing through the morning.
144	143	Group	[452, 630, 1248, 180]	[1076.0, 720.0]		
145	144	Group	[452, 630, 2572, 180]	[1738.0, 720.0]		
146	145	Group	[472, 630, 2488, 180]	[1716.0, 720.0]		
170	146	Button	[472, 630, 48, 180]	[496.0, 720.0]		|Now, Windy, 9°
169	146	Button	[584, 630, 32, 180]	[600.0, 720.0]		|23, Windy, 9°
168	146	Button	[686, 630, 32, 180]	[702.0, 720.0]		|00, Windy, 9°
167	146	Button	[786, 630, 32, 180]	[802.0, 720.0]		|01, Windy, 9°
166	146	Button	[888, 630, 32, 180]	[904.0, 720.0]		|02, Windy, 9°
165	146	Button	[988, 630, 32, 180]	[1004.0, 720.0]		|03, Windy, 9°
164	146	Button	[1090, 630, 32, 180]	[1106.0, 720.0]		|04, Windy, 9°
163	146	Button	[1190, 630, 32, 180]	[1206.0, 720.0]		|05, Windy, 9°
162	146	Button	[1292, 630, 32, 180]	[1308.0, 720.0]		|06, Windy, 9°
161	146	Button	[1392, 630, 32, 180]	[1408.0, 720.0]		|07, Windy, 9°
160	146	Button	[1488, 630, 106, 180]	[1541.0, 720.0]		|07:31, Sunrise
159	146	Button	[1654, 630, 34, 180]	[1671.0, 720.0]		|08, Windy, 8°
158	146	Button	[1756, 630, 32, 180]	[1772.0, 720.0]		|09, Windy, 9°
157	146	Button	[1858, 630, 32, 180]	[1874.0, 720.0]		|10, Windy, 9°
156	146	Button	[1952, 630, 46, 180]	[1975.0, 720.0]		|11, Windy, 10°
155	146	Button	[2056, 630, 46, 180]	[2079.0, 720.0]		|12, Windy, 10°
154	146	Button	[2162, 630, 42, 180]	[2183.0, 720.0]		|13, Windy, 11°
153	146	Button	[2262, 630, 42, 180]	[2283.0, 720.0]		|14, Windy, 11°
152	146	Button	[2364, 630, 42, 180]	[2385.0, 720.0]		|15, Windy, 11°
151	146	Button	[2464, 630, 42, 180]	[2485.0, 720.0]		|16, Windy, 11°
150	146	Button	[2564, 630, 46, 180]	[2587.0, 720.0]		|17, Windy, 10°
149	146	Button	[2668, 630, 98, 180]	[2717.0, 720.0]		|17:02, Sunset
148	146	Button	[2828, 630, 32, 180]	[2844.0, 720.0]		|18, Windy, 9°
147	146	Button	[2930, 630, 32, 180]	[2946.0, 720.0]		|19, Windy, 9°
128	97	Group	[452, 862, 608, 878]	[756.0, 1301.0]		
129	128	Group	[452, 862, 608, 878]	[756.0, 1301.0]		|10-Day Forecast
141	129	Image	[478, 888, 20, 18]	[488.0, 897.0]		|CALENDAR
140	129	StaticText	[512, 884, 188, 26]	[606.0, 897.0]		|10-DAY FORECAST
139	129	GenericElement	[452, 934, 608, 84]	[756.0, 976.0]		|Today, Windy, high of 10, low of 7
138	129	GenericElement	[452, 1020, 608, 84]	[756.0, 1062.0]		|Monday, Windy, high of 11, low of 7
137	129	GenericElement	[452, 1106, 608, 84]	[756.0, 1148.0]		|Tuesday, Windy, high of 9, low of 6
136	129	GenericElement	[452, 1190, 608, 84]	[756.0, 1232.0]		|Wednesday, 55% chance of rain, high of 10, low of 3
135	129	GenericElement	[452, 1276, 608, 84]	[756.0, 1318.0]		|Thursday, Drizzle, 70% chance of rain, high of 9, low of 2
134	129	GenericElement	[452, 1362, 608, 84]	[756.0, 1404.0]		|Friday, Cloudy, high of 11, low of 7
133	129	GenericElement	[452, 1448, 608, 84]	[756.0, 1490.0]		|Saturday, Mostly Cloudy, high of 12, low of 5
132	129	GenericElement	[452, 1534, 608, 84]	[756.0, 1576.0]		|Sunday, Cloudy, high of 11, low of 4
131	129	GenericElement	[452, 1620, 608, 84]	[756.0, 1662.0]		|Monday, 60% chance of rain, high of 7, low of 3
130	129	GenericElement	[452, 1706, 608, 34]	[756.0, 1723.0]		|Tuesday, Mostly Cloudy, high of 5, low of 1
123	97	Group	[1092, 862, 288, 288]	[1236.0, 1006.0]		
124	123	Group	[1092, 862, 288, 288]	[1236.0, 1006.0]		|UV Index
127	124	Image	[1118, 886, 22, 22]	[1129.0, 897.0]		|BRIGHTNESS HIGHER
126	124	StaticText	[1152, 884, 98, 26]	[1201.0, 897.0]		|UV INDEX
125	124	GenericElement	[1112, 932, 248, 198]	[1236.0, 1031.0]		|0, Low, Low for the rest of the day., Minimum value: 1; maximum value: 11+
118	97	Group	[1392, 862, 328, 288]	[1556.0, 1006.0]		
