App bundle	App name	Screen id	Question	Answer	Answer Type
com.jetson.24hourwallpaper-setapp	24hourwallpaper	1707228345	How many checkboxes are there on the screen?	3	number
com.jetson.24hourwallpaper-setapp	24hourwallpaper	1707228419	How many buttons are on the screen?	2	number
com.jetson.24hourwallpaper-setapp	24hourwallpaper	1707228419	Is the selected wallpaper Grand Canyon Mix?	Yes	yes/no
com.jetson.24hourwallpaper-setapp	24hourwallpaper	1707228419	How many dropdown menus are on the screen?	1	number
com.jetson.24hourwallpaper-setapp	24hourwallpaper	1707228389	"Is there a button ""Save"" on the screen?"	No	yes/no
com.jetson.24hourwallpaper-setapp	24hourwallpaper	1707228389	How many images (wallpapers) are on the screen?	4	number
com.jetson.24hourwallpaper-setapp	24hourwallpaper	1707228345	How many toolbar buttons are on the screen?	6	number
com.jetson.24hourwallpaper-setapp	24hourwallpaper	1707228345	Does the application open at login?	No	yes/no
com.jetson.24hourwallpaper-setapp	24hourwallpaper	1707228389	How many wallpapers are in the app?	105	number
com.onmyway133.Almighty-setapp	Almighty	1707228267	"Is this a ""Utility"" menu section?"	Yes	yes/no
com.onmyway133.Almighty-setapp	Almighty	1707228277	"How many ""+"" buttons are there on the visible part of the screen?"	4	number
com.onmyway133.Almighty-setapp	Almighty	1707228194	"Where should I click to switch to ""Dock"" menu?"	[(20, 512), (380, 572)]	coordinates
com.onmyway133.Almighty-setapp	Almighty	1707228277	"Is this a ""Settings"" menu section?"	No	yes/no
com.onmyway133.Almighty-setapp	Almighty	1707228277	"Is this an ""Automation"" menu section?"	Yes	yes/no
com.onmyway133.Almighty-setapp	Almighty	1707228289	How many toggle buttons are turned on?	2	number
com.onmyway133.Almighty-setapp	Almighty	1707228289	How many toggle buttons are turned off?	2	number
com.onmyway133.Almighty-setapp	Almighty	1707228289	"Is ""Launch at login"" turned on?"	No	yes/no
com.onmyway133.Almighty-setapp	Almighty	1707228267	On the visible screen, how many toggle buttons are turned on?	0	number
com.onmyway133.Almighty-setapp	Almighty	1707228267	On the visible screen, how many toggle buttons are there?	1	number
com.onmyway133.Almighty-setapp	Almighty	1707228256	How many toggle buttons are turned off?	1	number
com.onmyway133.Almighty-setapp	Almighty	1707228256	How many toggle buttons are turned on?	1	number
com.onmyway133.Almighty-setapp	Almighty	1707228245	How many toggle buttons are turned on?	1	number
com.onmyway133.Almighty-setapp	Almighty	1707228229	Is it possible to hide cursor using this menu?	Yes	yes/no
com.onmyway133.Almighty-setapp	Almighty	1707228229	"Is the selected menu page ""Mouse""?"	Yes	yes/no
com.onmyway133.Almighty-setapp	Almighty	1707228229	On the visible screen, how many toggle buttons are there?	2	number
com.onmyway133.Almighty-setapp	Almighty	1707228222	Is it possible to change the sound of keyboard using this menu?	Yes	yes/no
com.onmyway133.Almighty-setapp	Almighty	1707228222	On the visible screen, how many toggle buttons are there?	3	number
com.onmyway133.Almighty-setapp	Almighty	1707228216	How many search bars are on the screen?	1	number
com.onmyway133.Almighty-setapp	Almighty	1707228216	"Is the selected menu page ""Keyboard""?"	No	yes/no
com.onmyway133.Almighty-setapp	Almighty	1707228216	On the visible screen, how many toggle buttons are there?	3	number
com.onmyway133.Almighty-setapp	Almighty	1707228194	How many search bars are on the screen?	1	number
com.onmyway133.Almighty-setapp	Almighty	1707228194	On the visible screen, how many toggle buttons are there?	2	number
com.onmyway133.Almighty-setapp	Almighty	1707228177	How many search bars are on the screen?	1	number
com.onmyway133.Almighty-setapp	Almighty	1707228177	On the visible screen, how many toggle buttons are turned on?	0	number
com.onmyway133.Almighty-setapp	Almighty	1707228245	How many search bars are on the screen?	1	number
com.onmyway133.Almighty-setapp	Almighty	1707228245	Is it possible to change screenshot location using this menu?	Yes	yes/no
com.onmyway133.Almighty-setapp	Almighty	1707228256	Where should I click to Clear componenents on the System Clipboard?	[(1344, 670), (1408, 714)]	coordinates
com.onmyway133.Almighty-setapp	Almighty	1707228222	Where should I click to Lock Keyboard?	[(1336, 414), (1412, 458)]	coordinates
com.onmyway133.Almighty-setapp	Almighty	1707228177	Where should I click to Add a Quit option to Finder menu?	[(1336, 162), (1412, 206)]	coordinates
com.apple.appstore	AppStore	1707173654	Where should I click to see all Mac Favourites?	[(2170, 1286), (2280, 1324)]	coordinates
com.apple.appstore	AppStore	1707174097	What is the price of the app 'Final Draft 13'?	199.99	number
com.apple.appstore	AppStore	1707174097	How many app icons are on the screen?	4	number
com.apple.appstore	AppStore	1707173654	What is the price of Pixelmator Pro displayed on the screen?	49.99	number
com.apple.appstore	AppStore	1707173654	How many categories are listed in the sidebar menu?	8	number
com.apple.appstore	AppStore	1707174122	How many updates are indicated in the sidebar menu?	5	number
com.apple.appstore	AppStore	1707174122	What is the price of 'Things 3' in the Editors' Choice?	49.99	number
com.apple.appstore	AppStore	1707174097	What is the name of the current tab?	Create	string
com.apple.appstore	AppStore	1707174130	How many updates are available on the screen?	5	number
com.apple.appstore	AppStore	1707174073	How many top arcade games are presented on the screen?	4	number
com.apple.appstore	AppStore	1707174073	What's the name of the sidebar page that is selected?	Arcade	string
com.apple.appstore	AppStore	1707174073	How many categories are listed in the sidebar menu?	8	number
com.apple.appstore	AppStore	1707174122	How many categories are listed in the 'Categories' section?	21	number
